English Word	Emotion	Emotion-Intensity-Score	Somali Word
outraged	anger	0.964	xanaaqsan
brutality	anger	0.959	naxariis darro
hatred	anger	0.953	nacayb
hateful	anger	0.940	nacayb badan
terrorize	anger	0.939	argagaxiso
violently	anger	0.938	gacan ka hadal
infuriated	anger	0.938	xanaaqay
furious	anger	0.929	xanaaqsan
furiously	anger	0.927	si cadho leh
enraged	anger	0.927	xanaaqsan
screwyou	anger	0.924	ku dhufo
murderer	anger	0.922	gacan ku dhiigle
fury	anger	0.922	cadho
execution	anger	0.917	dil
angered	anger	0.916	xanaaqay
savagery	anger	0.915	wuxuushnimo
slaughtering	anger	0.914	gawraca
veryangry	anger	0.913	aad u xanaaqsan
assassinate	anger	0.912	dilaan
annihilation	anger	0.912	baabi'in
fuckoff	anger	0.912	fuckoff
rage	anger	0.911	xanaaq
loathe	anger	0.909	nacayb
fucktard	anger	0.906	fucktard
roadrage	anger	0.906	waddo-mareen
damnation	anger	0.906	habaar
homicidal	anger	0.906	dilid
furor	anger	0.900	cadho
hostile	anger	0.898	colaadeed
annihilate	anger	0.898	baabi'in
murder	anger	0.897	dil
raging	anger	0.896	xanaaqsan
sopissed	anger	0.894	kharriban
infuriates	anger	0.894	cadho
pissed	anger	0.894	xanaaqsan
rape	anger	0.894	kufsi
ferocious	anger	0.894	bahalnimo
vengeful	anger	0.894	aargoosi
obliterated	anger	0.894	la tirtiray
explosive	anger	0.894	qarxa
killing	anger	0.893	dilid
combative	anger	0.891	dagaalan
vengeance	anger	0.886	aargoosi
gofuckyourself	anger	0.886	iska daa
torment	anger	0.885	cadaab
wrath	anger	0.885	cadho
vicious	anger	0.884	xumaan
massacre	anger	0.882	xasuuq
threatening	anger	0.882	hanjabaad
abhorrent	anger	0.875	karaahiyo
bloodthirsty	anger	0.875	dhiigyacab
pissoff	anger	0.875	xanaaq
fighting	anger	0.868	dagaal
attacking	anger	0.865	weerar
annihilated	anger	0.865	la baabi'iyay
angriest	anger	0.864	ugu xanaaqsan
bloodshed	anger	0.864	dhiig daata
smite	anger	0.862	garaacid
brawl	anger	0.861	dagaal
malicious	anger	0.859	xaasidnimo
assassination	anger	0.859	dil
strangle	anger	0.859	ceejin
hostility	anger	0.859	cadaawad
assault	anger	0.859	weerar
explode	anger	0.859	qarxin
tirade	anger	0.859	tirade
loathsome	anger	0.857	karaahiyo
hell	anger	0.853	cadaab
murderous	anger	0.853	dilaa ah
attack	anger	0.853	weerar
malice	anger	0.852	xaasidnimo
terrorism	anger	0.851	argagixisada
beating	anger	0.849	garaacid
outrage	anger	0.848	xanaaq
desecration	anger	0.848	ceebayn
pissingmeoff	anger	0.848	xanaaq
destroying	anger	0.844	burburin
slaughter	anger	0.844	gowrac
irate	anger	0.844	ciil
violent	anger	0.844	gacan ka hadal
stab	anger	0.844	mindidii
abomination	anger	0.844	karaahiyo
tumultuous	anger	0.844	buuq badan
infuriate	anger	0.844	xanaaqsan
obliterate	anger	0.843	baabi'in
belligerent	anger	0.841	dagaalan
dumbbitch	anger	0.841	nacasnimo
detest	anger	0.838	nacayb
hostilities	anger	0.837	colaado
prick	anger	0.835	durid
rampage	anger	0.833	dabadhilifnimo
horrid	anger	0.833	horrid
cruelty	anger	0.833	naxariis darro
torture	anger	0.833	jirdil
rabid	anger	0.833	rabid
despicable	anger	0.828	la quudhsado
tyrannical	anger	0.828	macangagnimo
demonic	anger	0.828	jinni
satanic	anger	0.828	shaydaan
hate	anger	0.828	nacayb
ragemode	anger	0.828	ragemode
hating	anger	0.828	nacaybka
ruinous	anger	0.825	burburay
condemn	anger	0.825	cambaarayn
riots	anger	0.824	rabshado
demolish	anger	0.824	dumin
angry	anger	0.824	xanaaqsan
extermination	anger	0.824	dabargoyn
dickhead	anger	0.824	madaxa
livid	anger	0.821	livid
madman	anger	0.820	waalan
vindictive	anger	0.819	aargudasho
terrorist	anger	0.818	argagixisada
threaten	anger	0.818	handadaad
venomous	anger	0.818	sun leh
hateyou	anger	0.818	necbahay
ferocity	anger	0.818	bahalnimo
effyou	anger	0.818	kuu
abhor	anger	0.816	karaahiyo
carnage	anger	0.814	xasuuq
savage	anger	0.814	dugaag
atrocity	anger	0.814	bahalnimo
fucksake	anger	0.812	fucksake
abuse	anger	0.812	xadgudub
fierce	anger	0.812	daran
destroyer	anger	0.812	dumiye
angrytweet	anger	0.812	xanaaqay tweeted
barbaric	anger	0.812	barbaric
vendetta	anger	0.812	Vendetta
pissesmeoff	anger	0.812	xanaaq
pissedoff	anger	0.812	xanaaqsan
tyrant	anger	0.812	daalim
berserk	anger	0.812	wax qabad
fuming	anger	0.812	xiiqsanaan
anger	anger	0.811	xanaaq
pieceofshit	anger	0.810	gabaldhac
punched	anger	0.803	feeray
punching	anger	0.803	feeray
slam	anger	0.803	dharbaaxo
homicide	anger	0.803	dil
bitch	anger	0.803	qaniinyo
fights	anger	0.803	dagaalamo
ruthless	anger	0.797	naxariis la'aan
villainous	anger	0.797	xumaan
destructive	anger	0.797	burburin
slap	anger	0.791	dharbaaxo
riot	anger	0.788	rabshado
growthefuckup	anger	0.788	kobcin
punishing	anger	0.788	ciqaabid
slaughterhouse	anger	0.788	kawaanka
yelling	anger	0.788	qaylada
diabolical	anger	0.788	diabolical
destroyed	anger	0.788	burburay
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	aargoosi
manslaughter	anger	0.783	dilid
clash	anger	0.783	isku dhac
quarrel	anger	0.781	muran
bloody	anger	0.781	dhiig leh
hellish	anger	0.781	naarta
sinister	anger	0.781	xumaan
loath	anger	0.781	nacayb
detonation	anger	0.781	qarxin
accusing	anger	0.779	eedayn
