English Word	Emotion	Emotion-Intensity-Score	Spanish Word
outraged	anger	0.964	indignado
brutality	anger	0.959	brutalidad
hatred	anger	0.953	odio
hateful	anger	0.940	odioso
terrorize	anger	0.939	aterrorizar
violently	anger	0.938	violentamente
infuriated	anger	0.938	enfurecido
furious	anger	0.929	furioso
furiously	anger	0.927	furiosamente
enraged	anger	0.927	enfurecido
screwyou	anger	0.924	Púdrete
murderer	anger	0.922	asesino
fury	anger	0.922	furia
execution	anger	0.917	ejecución
angered	anger	0.916	enojado
savagery	anger	0.915	salvajismo
slaughtering	anger	0.914	matanza
veryangry	anger	0.913	muy enojado
assassinate	anger	0.912	asesinar
annihilation	anger	0.912	aniquilación
fuckoff	anger	0.912	vete a la mierda
rage	anger	0.911	rabia
loathe	anger	0.909	detestar
fucktard	anger	0.906	cabrón
roadrage	anger	0.906	Rabia en la carretera
damnation	anger	0.906	condenación
homicidal	anger	0.906	homicida
furor	anger	0.900	furor
hostile	anger	0.898	hostil
annihilate	anger	0.898	aniquilar
murder	anger	0.897	asesinato
raging	anger	0.896	furioso
sopissed	anger	0.894	furioso
infuriates	anger	0.894	enfurece
pissed	anger	0.894	Molesto
rape	anger	0.894	violación
ferocious	anger	0.894	feroz
vengeful	anger	0.894	vengativo
obliterated	anger	0.894	borrado
explosive	anger	0.894	explosivo
killing	anger	0.893	asesinato
combative	anger	0.891	combativo
vengeance	anger	0.886	venganza
gofuckyourself	anger	0.886	vete a la mierda
torment	anger	0.885	tormento
wrath	anger	0.885	ira
vicious	anger	0.884	vicioso
massacre	anger	0.882	masacre
threatening	anger	0.882	amenazante
abhorrent	anger	0.875	aborrecible
bloodthirsty	anger	0.875	sanguinario
pissoff	anger	0.875	cabrear
fighting	anger	0.868	lucha
attacking	anger	0.865	agresor
annihilated	anger	0.865	aniquilado
angriest	anger	0.864	más enojado
bloodshed	anger	0.864	matanza
smite	anger	0.862	herir
brawl	anger	0.861	pelearse
malicious	anger	0.859	malicioso
assassination	anger	0.859	asesinato
strangle	anger	0.859	estrangular
hostility	anger	0.859	hostilidad
assault	anger	0.859	agresión
explode	anger	0.859	explotar
tirade	anger	0.859	diatriba
loathsome	anger	0.857	repugnante
hell	anger	0.853	infierno
murderous	anger	0.853	asesino
attack	anger	0.853	ataque
malice	anger	0.852	malicia
terrorism	anger	0.851	terrorismo
beating	anger	0.849	golpeando
outrage	anger	0.848	Indignacion
desecration	anger	0.848	profanación
pissingmeoff	anger	0.848	pissingmeoff
destroying	anger	0.844	destruyendo
slaughter	anger	0.844	sacrificio
irate	anger	0.844	airado
violent	anger	0.844	violento
stab	anger	0.844	puñalada
abomination	anger	0.844	abominación
tumultuous	anger	0.844	tumultuoso
infuriate	anger	0.844	enfurecer
obliterate	anger	0.843	obliterar
belligerent	anger	0.841	beligerante
dumbbitch	anger	0.841	idiota
detest	anger	0.838	detestar
hostilities	anger	0.837	hostilidades
prick	anger	0.835	pinchazo
rampage	anger	0.833	alboroto
horrid	anger	0.833	horrible
cruelty	anger	0.833	crueldad
torture	anger	0.833	tortura
rabid	anger	0.833	rabioso
despicable	anger	0.828	despreciable
tyrannical	anger	0.828	tiránico
demonic	anger	0.828	demoníaco
satanic	anger	0.828	satánico
hate	anger	0.828	odio
ragemode	anger	0.828	modo furia
hating	anger	0.828	odiando
ruinous	anger	0.825	ruinoso
condemn	anger	0.825	condenar
riots	anger	0.824	disturbios
demolish	anger	0.824	demoler
angry	anger	0.824	enfadado
extermination	anger	0.824	exterminio
dickhead	anger	0.824	gilipollas
livid	anger	0.821	lívido
madman	anger	0.820	loco
vindictive	anger	0.819	vengativo
terrorist	anger	0.818	terrorista
threaten	anger	0.818	amenazar
venomous	anger	0.818	venenoso
hateyou	anger	0.818	te odio
ferocity	anger	0.818	ferocidad
effyou	anger	0.818	gracias
abhor	anger	0.816	aborrecer
carnage	anger	0.814	carnicería
savage	anger	0.814	salvaje
atrocity	anger	0.814	atrocidad
fucksake	anger	0.812	maldito
abuse	anger	0.812	abuso
fierce	anger	0.812	intenso
destroyer	anger	0.812	destructor
angrytweet	anger	0.812	tuit enojado
barbaric	anger	0.812	bárbaro
vendetta	anger	0.812	vendetta
pissesmeoff	anger	0.812	me enoja
pissedoff	anger	0.812	enfadado
tyrant	anger	0.812	tirano
berserk	anger	0.812	enloquecido
fuming	anger	0.812	echando humo
anger	anger	0.811	enfado
pieceofshit	anger	0.810	pedazo de mierda
punched	anger	0.803	perforado
punching	anger	0.803	puñetazos
slam	anger	0.803	golpe
homicide	anger	0.803	homicidio
bitch	anger	0.803	perra
fights	anger	0.803	peleas
ruthless	anger	0.797	implacable
villainous	anger	0.797	villano
destructive	anger	0.797	destructivo
slap	anger	0.791	bofetada
riot	anger	0.788	disturbio
growthefuckup	anger	0.788	crecimiento
punishing	anger	0.788	agotador
slaughterhouse	anger	0.788	matadero
yelling	anger	0.788	Gritando
diabolical	anger	0.788	diabólico
destroyed	anger	0.788	destruido
ragetweet	anger	0.788	tuit de rabia
retaliatory	anger	0.788	vengativo
manslaughter	anger	0.783	homicidio involuntario
clash	anger	0.783	choque
quarrel	anger	0.781	disputa
bloody	anger	0.781	sangriento
