English Word	Emotion	Emotion-Intensity-Score	Sundanese Word
outraged	anger	0.964	ngambek
brutality	anger	0.959	kakejaman
hatred	anger	0.953	hatena
hateful	anger	0.940	hatena
terrorize	anger	0.939	teror
violently	anger	0.938	telenges
infuriated	anger	0.938	ngambek
furious	anger	0.929	ngamuk
furiously	anger	0.927	ngamuk
enraged	anger	0.927	ngamuk
screwyou	anger	0.924	képrét siah
murderer	anger	0.922	rajapati
fury	anger	0.922	amarah
execution	anger	0.917	palaksanaan
angered	anger	0.916	ngambek
savagery	anger	0.915	savagery
slaughtering	anger	0.914	meuncit
veryangry	anger	0.913	ambek pisan
assassinate	anger	0.912	maehan
annihilation	anger	0.912	musnahna
fuckoff	anger	0.912	bangsat
rage	anger	0.911	ngamuk
loathe	anger	0.909	benci
fucktard	anger	0.906	bangsat
roadrage	anger	0.906	roadrage
damnation	anger	0.906	laknat
homicidal	anger	0.906	maehan
furor	anger	0.900	amarah
hostile	anger	0.898	mumusuhan
annihilate	anger	0.898	ngancurkeun
murder	anger	0.897	rajapati
raging	anger	0.896	ngamuk
sopissed	anger	0.894	heureuy
infuriates	anger	0.894	ngambek
pissed	anger	0.894	ambek
rape	anger	0.894	perkosa
ferocious	anger	0.894	galak
vengeful	anger	0.894	dendam
obliterated	anger	0.894	dileungitkeun
explosive	anger	0.894	ngabeledug
killing	anger	0.893	maehan
combative	anger	0.891	merangan
vengeance	anger	0.886	pamales kanyeri
gofuckyourself	anger	0.886	goblog sorangan
torment	anger	0.885	nyiksa
wrath	anger	0.885	amarah
vicious	anger	0.884	galak
massacre	anger	0.882	pangperangan
threatening	anger	0.882	ngancam
abhorrent	anger	0.875	hina
bloodthirsty	anger	0.875	haus getih
pissoff	anger	0.875	pissoff
fighting	anger	0.868	gelut
attacking	anger	0.865	narajang
annihilated	anger	0.865	dibasmi
angriest	anger	0.864	paling ambek
bloodshed	anger	0.864	pertumpahan getih
smite	anger	0.862	neunggeul
brawl	anger	0.861	tawuran
malicious	anger	0.859	jahat
assassination	anger	0.859	rajapati
strangle	anger	0.859	nyekek
hostility	anger	0.859	mumusuhan
assault	anger	0.859	narajang
explode	anger	0.859	ngabeledug
tirade	anger	0.859	ngagorowok
loathsome	anger	0.857	pikasebeleun
hell	anger	0.853	naraka
murderous	anger	0.853	maehan
attack	anger	0.853	narajang
malice	anger	0.852	hatena
terrorism	anger	0.851	terorisme
beating	anger	0.849	neunggeulan
outrage	anger	0.848	ambek-ambekan
desecration	anger	0.848	ngahinakeun
pissingmeoff	anger	0.848	pissingmeoff
destroying	anger	0.844	ngaruksak
slaughter	anger	0.844	meuncit
irate	anger	0.844	ngambek
violent	anger	0.844	telenges
stab	anger	0.844	tusuk
abomination	anger	0.844	kekejian
tumultuous	anger	0.844	gegeroan
infuriate	anger	0.844	ngambek
obliterate	anger	0.843	ngaleungitkeun
belligerent	anger	0.841	gelut
dumbbitch	anger	0.841	bangsat
detest	anger	0.838	benci
hostilities	anger	0.837	mumusuhan
prick	anger	0.835	cucuk
rampage	anger	0.833	ngamuk
horrid	anger	0.833	pikareueuseun
cruelty	anger	0.833	kakejaman
torture	anger	0.833	panyiksaan
rabid	anger	0.833	rabid
despicable	anger	0.828	hina
tyrannical	anger	0.828	tirani
demonic	anger	0.828	setan
satanic	anger	0.828	setan
hate	anger	0.828	hate
ragemode	anger	0.828	ragemode
hating	anger	0.828	hate
ruinous	anger	0.825	ruinous
condemn	anger	0.825	ngahukum
riots	anger	0.824	karusuhan
demolish	anger	0.824	ngabongkar
angry	anger	0.824	ambek
extermination	anger	0.824	ngabasmi
dickhead	anger	0.824	bajingan
livid	anger	0.821	ngambekan
madman	anger	0.820	jelema gélo
vindictive	anger	0.819	dendam
terrorist	anger	0.818	teroris
threaten	anger	0.818	ngancam
venomous	anger	0.818	berbisa
hateyou	anger	0.818	ngéwa ka anjeun
ferocity	anger	0.818	kagorengan
effyou	anger	0.818	effyou
abhor	anger	0.816	ngahinakeun
carnage	anger	0.814	pangperangan
savage	anger	0.814	biadab
atrocity	anger	0.814	kekejaman
fucksake	anger	0.812	bangsat
abuse	anger	0.812	nyiksa
fierce	anger	0.812	galak
destroyer	anger	0.812	penghancur
angrytweet	anger	0.812	ambek tweet
barbaric	anger	0.812	biadab
vendetta	anger	0.812	dendam
pissesmeoff	anger	0.812	pissesmeoff
pissedoff	anger	0.812	kesel
tyrant	anger	0.812	tirani
berserk	anger	0.812	ngamuk
fuming	anger	0.812	haseum
anger	anger	0.811	amarah
pieceofshit	anger	0.810	sapotong
punched	anger	0.803	ditinju
punching	anger	0.803	punching
slam	anger	0.803	bantingan
homicide	anger	0.803	rajapati
bitch	anger	0.803	bangsat
fights	anger	0.803	gelut
ruthless	anger	0.797	kejem
villainous	anger	0.797	jahat
destructive	anger	0.797	ngaruksak
slap	anger	0.791	nyabok
riot	anger	0.788	karusuhan
growthefuckup	anger	0.788	growthfuckup
punishing	anger	0.788	ngahukum
slaughterhouse	anger	0.788	imah jagal
yelling	anger	0.788	ngagorowok
diabolical	anger	0.788	setan
destroyed	anger	0.788	ancur
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	pamalesan
manslaughter	anger	0.783	rajapati
clash	anger	0.783	tawuran
quarrel	anger	0.781	pasea
bloody	anger	0.781	getihan
hellish	anger	0.781	naraka
sinister	anger	0.781	jahat
loath	anger	0.781	heureuy
detonation	anger	0.781	detonasi
accusing	anger	0.779	nuduh
fumin	anger	0.779	amis
hateeee	anger	0.779	hateeee
treacherous	anger	0.779	khianat
madder	anger	0.773	gelo
horrific	anger	0.773	pikareueuseun
revulsion	anger	0.773	revulsi
retaliate	anger	0.773	ngabales
scorn	anger	0.769	ngahina
bomb	anger	0.766	bom
deplorable	anger	0.766	hanjakal
devastation	anger	0.765	karuksakan
anarchist	anger	0.765	anarkis
firestorm	anger	0.765	badai seuneu
resent	anger	0.765	ambek-ambekan
contemptible	anger	0.764	hina
shittest	anger	0.760	sial
rant	anger	0.758	gogorowokan
cruel	anger	0.758	kejem
deadly	anger	0.758	maot
smash	anger	0.758	ngarempak
soangry	anger	0.758	soang
outburst	anger	0.757	ledakan
snarl	anger	0.754	ngagorowok
profane	anger	0.750	profan
revolting	anger	0.750	revolting
aggravating	anger	0.750	ngaheureuykeun
horror	anger	0.750	kaayaan sieun
despise	anger	0.750	ngahinakeun
offend	anger	0.750	nyigeung
stfu	anger	0.750	stfu
vulgarity	anger	0.750	vulgar
crazed	anger	0.750	gélo
douchebags	anger	0.750	douchebags
growling	anger	0.750	ngagerem
dontmesswithme	anger	0.750	tong panggih jeung kuring
screaming	anger	0.742	ngagorowok
threat	anger	0.742	ancaman
erupt	anger	0.742	bitu
horrible	anger	0.742	pikareueuseun
molestation	anger	0.742	molestation
fuckedoff	anger	0.742	bangsat
violence	anger	0.742	kekerasan
bastards	anger	0.741	bangsat
revenge	anger	0.738	dendam
menacing	anger	0.735	ngancem
crushing	anger	0.735	crushing
damn	anger	0.735	Bangsat
catastrophe	anger	0.735	musibah
demon	anger	0.735	sétan
argue	anger	0.734	ngabantah
persecute	anger	0.734	nganiaya
deplore	anger	0.734	hanjakal
flog	anger	0.734	sambel
fedup	anger	0.734	geuleuh
riotous	anger	0.734	rusuh
vehement	anger	0.734	galak
revolt	anger	0.734	barontak
warfare	anger	0.734	perang
thrash	anger	0.734	ngagorowok
altercation	anger	0.729	pertengkaran
warlike	anger	0.728	suka perang
shitday	anger	0.727	sial
mutiny	anger	0.727	pemberontakan
castrate	anger	0.727	kastrat
sabotage	anger	0.727	sabotase
malevolent	anger	0.721	malevolent
strike	anger	0.721	neunggeul
disaster	anger	0.721	musibah
disastrous	anger	0.720	mawa musibah
bastarding	anger	0.719	bangsat
