English Word	Emotion	Emotion-Intensity-Score	Swahili Word
outraged	anger	0.964	hasira
brutality	anger	0.959	ukatili
hatred	anger	0.953	chuki
hateful	anger	0.940	mwenye chuki
terrorize	anger	0.939	kutisha
violently	anger	0.938	kwa ukali
infuriated	anger	0.938	hasira
furious	anger	0.929	hasira
furiously	anger	0.927	kwa hasira
enraged	anger	0.927	hasira
screwyou	anger	0.924	screw wewe
murderer	anger	0.922	muuaji
fury	anger	0.922	hasira
execution	anger	0.917	utekelezaji
angered	anger	0.916	hasira
savagery	anger	0.915	ushenzi
slaughtering	anger	0.914	kuchinja
veryangry	anger	0.913	hasira sana
assassinate	anger	0.912	kuua
annihilation	anger	0.912	maangamizi
fuckoff	anger	0.912	fuckoff
rage	anger	0.911	hasira
loathe	anger	0.909	chukia
fucktard	anger	0.906	fucktard
roadrage	anger	0.906	barabara
damnation	anger	0.906	laana
homicidal	anger	0.906	mauaji
furor	anger	0.900	furor
hostile	anger	0.898	uadui
annihilate	anger	0.898	kuangamiza
murder	anger	0.897	mauaji
raging	anger	0.896	hasira
sopissed	anger	0.894	mwenye huzuni
infuriates	anger	0.894	hukasirisha
pissed	anger	0.894	hasira
rape	anger	0.894	ubakaji
ferocious	anger	0.894	mkali
vengeful	anger	0.894	mwenye kulipiza kisasi
obliterated	anger	0.894	kufutwa
explosive	anger	0.894	kulipuka
killing	anger	0.893	kuua
combative	anger	0.891	mpiganaji
vengeance	anger	0.886	kisasi
gofuckyourself	anger	0.886	gofuckyourself
torment	anger	0.885	mateso
wrath	anger	0.885	hasira
vicious	anger	0.884	mbaya
massacre	anger	0.882	mauaji
threatening	anger	0.882	kutisha
abhorrent	anger	0.875	ya kuchukiza
bloodthirsty	anger	0.875	mwenye kiu ya damu
pissoff	anger	0.875	udhi
fighting	anger	0.868	kupigana
attacking	anger	0.865	kushambulia
annihilated	anger	0.865	kuangamizwa
angriest	anger	0.864	hasira zaidi
bloodshed	anger	0.864	umwagaji damu
smite	anger	0.862	piga
brawl	anger	0.861	rabsha
malicious	anger	0.859	hasidi
assassination	anger	0.859	mauaji
strangle	anger	0.859	nyonga
hostility	anger	0.859	uadui
assault	anger	0.859	shambulio
explode	anger	0.859	kulipuka
tirade	anger	0.859	tirade
loathsome	anger	0.857	ya kuchukiza
hell	anger	0.853	kuzimu
murderous	anger	0.853	muuaji
attack	anger	0.853	shambulio
malice	anger	0.852	uovu
terrorism	anger	0.851	ugaidi
beating	anger	0.849	kupiga
outrage	anger	0.848	hasira
desecration	anger	0.848	kunajisi
pissingmeoff	anger	0.848	pissingmeoff
destroying	anger	0.844	kuharibu
slaughter	anger	0.844	kuchinja
irate	anger	0.844	hasira
violent	anger	0.844	vurugu
stab	anger	0.844	kuchoma
abomination	anger	0.844	chukizo
tumultuous	anger	0.844	wenye misukosuko
infuriate	anger	0.844	kukasirisha
obliterate	anger	0.843	futa
belligerent	anger	0.841	mwenye vita
dumbbitch	anger	0.841	dumbbitch
detest	anger	0.838	chukizo
hostilities	anger	0.837	uhasama
prick	anger	0.835	chomo
rampage	anger	0.833	fujo
horrid	anger	0.833	mbaya
cruelty	anger	0.833	ukatili
torture	anger	0.833	mateso
rabid	anger	0.833	kichaa
despicable	anger	0.828	kudharauliwa
tyrannical	anger	0.828	dhalimu
demonic	anger	0.828	kipepo
satanic	anger	0.828	ya kishetani
hate	anger	0.828	chuki
ragemode	anger	0.828	ragemode
hating	anger	0.828	kuchukia
ruinous	anger	0.825	uharibifu
condemn	anger	0.825	kulaani
riots	anger	0.824	ghasia
demolish	anger	0.824	kubomoa
angry	anger	0.824	hasira
extermination	anger	0.824	kuangamiza
dickhead	anger	0.824	kichwa cha kijinga
livid	anger	0.821	mkali
madman	anger	0.820	mwendawazimu
vindictive	anger	0.819	mwenye kulipiza kisasi
terrorist	anger	0.818	kigaidi
threaten	anger	0.818	kutishia
venomous	anger	0.818	yenye sumu
hateyou	anger	0.818	kukuchukia
ferocity	anger	0.818	ukali
effyou	anger	0.818	eff wewe
abhor	anger	0.816	chukia
carnage	anger	0.814	mauaji
savage	anger	0.814	mshenzi
atrocity	anger	0.814	ukatili
fucksake	anger	0.812	fucksake
abuse	anger	0.812	unyanyasaji
fierce	anger	0.812	mkali
destroyer	anger	0.812	mharibifu
angrytweet	anger	0.812	hasiratweet
barbaric	anger	0.812	kishenzi
vendetta	anger	0.812	vendetta
pissesmeoff	anger	0.812	pissesmeoff
pissedoff	anger	0.812	kasirika
tyrant	anger	0.812	jeuri
berserk	anger	0.812	dharau
fuming	anger	0.812	hasira
anger	anger	0.811	hasira
pieceofshit	anger	0.810	kipande cha uchafu
punched	anger	0.803	kupigwa ngumi
punching	anger	0.803	kupiga ngumi
slam	anger	0.803	slam
homicide	anger	0.803	mauaji
bitch	anger	0.803	mbwa mwitu
fights	anger	0.803	mapambano
ruthless	anger	0.797	wasio na huruma
villainous	anger	0.797	mwovu
destructive	anger	0.797	uharibifu
slap	anger	0.791	kofi
riot	anger	0.788	ghasia
growthefuckup	anger	0.788	ukuaji wa mbwembwe
punishing	anger	0.788	kuadhibu
slaughterhouse	anger	0.788	kichinjio
yelling	anger	0.788	kupiga kelele
diabolical	anger	0.788	ya kishetani
destroyed	anger	0.788	kuharibiwa
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	kulipiza kisasi
manslaughter	anger	0.783	mauaji
clash	anger	0.783	mgongano
quarrel	anger	0.781	ugomvi
bloody	anger	0.781	damu
hellish	anger	0.781	kuzimu
sinister	anger	0.781	mbaya
loath	anger	0.781	chukizo
detonation	anger	0.781	mlipuko
accusing	anger	0.779	kushutumu
fumin	anger	0.779	mafusho
hateeee	anger	0.779	hateeee
treacherous	anger	0.779	wasaliti
madder	anger	0.773	mwendawazimu
horrific	anger	0.773	ya kutisha
revulsion	anger	0.773	chukizo
retaliate	anger	0.773	kulipiza kisasi
scorn	anger	0.769	dharau
bomb	anger	0.766	bomu
deplorable	anger	0.766	ya kusikitisha
devastation	anger	0.765	uharibifu
anarchist	anger	0.765	anarchist
firestorm	anger	0.765	dhoruba ya moto
resent	anger	0.765	kuchukizwa
contemptible	anger	0.764	dharau
shittest	anger	0.760	shittest
rant	anger	0.758	kelele
cruel	anger	0.758	mkatili
deadly	anger	0.758	mauti
smash	anger	0.758	vunja
soangry	anger	0.758	hasira
outburst	anger	0.757	mlipuko
snarl	anger	0.754	piga kelele
profane	anger	0.750	chafu
revolting	anger	0.750	kuasi
aggravating	anger	0.750	kuzidisha
horror	anger	0.750	hofu
despise	anger	0.750	dharau
offend	anger	0.750	kukera
stfu	anger	0.750	stfu
vulgarity	anger	0.750	uchafu
crazed	anger	0.750	mwenye kichaa
douchebags	anger	0.750	mifuko ya doucheba
growling	anger	0.750	kunguruma
dontmesswithme	anger	0.750	usifanye nami
screaming	anger	0.742	kupiga kelele
threat	anger	0.742	tishio
erupt	anger	0.742	kulipuka
horrible	anger	0.742	ya kutisha
molestation	anger	0.742	unyanyasaji
fuckedoff	anger	0.742	imetoweka
violence	anger	0.742	vurugu
bastards	anger	0.741	wanaharamu
revenge	anger	0.738	kulipiza kisasi
menacing	anger	0.735	kutisha
crushing	anger	0.735	kusagwa
damn	anger	0.735	jamani
catastrophe	anger	0.735	janga
demon	anger	0.735	pepo
argue	anger	0.734	kubishana
persecute	anger	0.734	kutesa
deplore	anger	0.734	dharau
flog	anger	0.734	pigo
fedup	anger	0.734	shirikisho
riotous	anger	0.734	mwenye ghasia
vehement	anger	0.734	ukali
revolt	anger	0.734	uasi
warfare	anger	0.734	vita
thrash	anger	0.734	thrash
altercation	anger	0.729	ugomvi
warlike	anger	0.728	kama vita
shitday	anger	0.727	shitday
mutiny	anger	0.727	maasi
castrate	anger	0.727	kuhasiwa
sabotage	anger	0.727	hujuma
malevolent	anger	0.721	mbaya
strike	anger	0.721	mgomo
disaster	anger	0.721	janga
disastrous	anger	0.720	balaa
bastarding	anger	0.719	uharamu
treachery	anger	0.719	usaliti
arseholes	anger	0.719	mashimo
horseshit	anger	0.719	farasi
slay	anger	0.719	kuua
disdain	anger	0.719	dharau
aggravates	anger	0.719	inazidisha
brutal	anger	0.719	kikatili
scorching	anger	0.719	kuunguza
devil	anger	0.719	shetani
madden	anger	0.719	mwenye wazimu
spiteful	anger	0.719	chukizo
scream	anger	0.719	kupiga kelele
choke	anger	0.719	choma
vermin	anger	0.719	wanyama waharibifu
tumult	anger	0.719	ghasia
criminal	anger	0.714	jinai
mangle	anger	0.714	manyoya
anarchism	anger	0.714	anarchism
mutilation	anger	0.714	ukeketaji
denunciation	anger	0.713	kukashifu
punch	anger	0.713	ngumi
virulence	anger	0.712	virusi
fatal	anger	0.712	mbaya
hurting	anger	0.712	kuumiza
crucifixion	anger	0.712	kusulubishwa
dontlikeyou	anger	0.712	sikupenda wewe
blasphemous	anger	0.712	kukufuru
holocaust	anger	0.712	Holocaust
