English Word	Emotion	Emotion-Intensity-Score	Swedish Word
outraged	anger	0.964	upprörd
brutality	anger	0.959	brutalitet
hatred	anger	0.953	hat
hateful	anger	0.940	förhatlig
terrorize	anger	0.939	terrorisera
violently	anger	0.938	våldsamt
infuriated	anger	0.938	upprörd
furious	anger	0.929	rasande
furiously	anger	0.927	rasande
enraged	anger	0.927	rasande
screwyou	anger	0.924	dra åt helvete
murderer	anger	0.922	mördare
fury	anger	0.922	raseri
execution	anger	0.917	avrättning
angered	anger	0.916	upprörd
savagery	anger	0.915	barbari
slaughtering	anger	0.914	slakt
veryangry	anger	0.913	mycket arg
assassinate	anger	0.912	mörda
annihilation	anger	0.912	förintelse
fuckoff	anger	0.912	fan
rage	anger	0.911	rasa
loathe	anger	0.909	avsky
fucktard	anger	0.906	jävla
roadrage	anger	0.906	ilskan bakom ratten
damnation	anger	0.906	fördömelse
homicidal	anger	0.906	mordisk
furor	anger	0.900	furor
hostile	anger	0.898	fientlig
annihilate	anger	0.898	förinta
murder	anger	0.897	mörda
raging	anger	0.896	rasande
sopissed	anger	0.894	så förbannad
infuriates	anger	0.894	upprörs
pissed	anger	0.894	förbannad
rape	anger	0.894	våldta
ferocious	anger	0.894	våldsam
vengeful	anger	0.894	hämndlysten
obliterated	anger	0.894	utplånats
explosive	anger	0.894	explosiv
killing	anger	0.893	dödande
combative	anger	0.891	stridbar
vengeance	anger	0.886	hämnd
gofuckyourself	anger	0.886	knulla dig själv
torment	anger	0.885	plåga
wrath	anger	0.885	vrede
vicious	anger	0.884	ondskefull
massacre	anger	0.882	massaker
threatening	anger	0.882	hotfull
abhorrent	anger	0.875	motbjudande
bloodthirsty	anger	0.875	blodtörstig
pissoff	anger	0.875	dra åt helvete
fighting	anger	0.868	stridande
attacking	anger	0.865	attackera
annihilated	anger	0.865	förintad
angriest	anger	0.864	argaste
bloodshed	anger	0.864	blodsutgjutelse
smite	anger	0.862	slå
brawl	anger	0.861	bråk
malicious	anger	0.859	illvillig
assassination	anger	0.859	lönnmord
strangle	anger	0.859	strypa
hostility	anger	0.859	fientlighet
assault	anger	0.859	överfall
explode	anger	0.859	explodera
tirade	anger	0.859	tirad
loathsome	anger	0.857	avskyvärd
hell	anger	0.853	Helvete
murderous	anger	0.853	mördande
attack	anger	0.853	ge sig på
malice	anger	0.852	illvilja
terrorism	anger	0.851	terrorism
beating	anger	0.849	stryk
outrage	anger	0.848	upprördhet
desecration	anger	0.848	vanhelgande
pissingmeoff	anger	0.848	pissingmeoff
destroying	anger	0.844	förstöra
slaughter	anger	0.844	slakt
irate	anger	0.844	ilsken
violent	anger	0.844	våldsam
stab	anger	0.844	hugg
abomination	anger	0.844	avsky
tumultuous	anger	0.844	stormande
infuriate	anger	0.844	uppröra
