English Word	Emotion	Emotion-Intensity-Score	Tajik Word
outraged	anger	0.964	хашмгин шуд
brutality	anger	0.959	бераҳмӣ
hatred	anger	0.953	нафрат
hateful	anger	0.940	нафратовар
terrorize	anger	0.939	террор кардан
violently	anger	0.938	зӯроварона
infuriated	anger	0.938	хашмгин шуд
furious	anger	0.929	хашмгин
furiously	anger	0.927	хашмгинона
enraged	anger	0.927	хашмгин шуд
screwyou	anger	0.924	бирав ту
murderer	anger	0.922	қотил
fury	anger	0.922	хашм
execution	anger	0.917	иҷро
angered	anger	0.916	хашмгин шуд
savagery	anger	0.915	ваҳшӣ
slaughtering	anger	0.914	куштан
veryangry	anger	0.913	хеле хашмгин
assassinate	anger	0.912	куштан
annihilation	anger	0.912	нобудшавӣ
fuckoff	anger	0.912	фоҳиша
rage	anger	0.911	хашм
loathe	anger	0.909	нафрат кардан
fucktard	anger	0.906	лаънат
roadrage	anger	0.906	роҳзанӣ
damnation	anger	0.906	лаънат
homicidal	anger	0.906	одамкуш
furor	anger	0.900	хашмгин
hostile	anger	0.898	душманона
annihilate	anger	0.898	нест кардан
murder	anger	0.897	куштор
raging	anger	0.896	хашмгин
sopissed	anger	0.894	ғамгин
infuriates	anger	0.894	хашмгин мекунад
pissed	anger	0.894	хашмгин
rape	anger	0.894	таҷовуз
ferocious	anger	0.894	бераҳм
vengeful	anger	0.894	интиқомгиранда
obliterated	anger	0.894	нест карда шудааст
explosive	anger	0.894	тарканда
killing	anger	0.893	куштан
combative	anger	0.891	мубориз
vengeance	anger	0.886	интиқом
gofuckyourself	anger	0.886	худатро лаънат кун
torment	anger	0.885	азоб
wrath	anger	0.885	хашм
vicious	anger	0.884	бадхоҳ
massacre	anger	0.882	қатли ом
threatening	anger	0.882	таҳдид кардан
abhorrent	anger	0.875	нафратовар
bloodthirsty	anger	0.875	хунхор
pissoff	anger	0.875	хашмгин
fighting	anger	0.868	мубориза бурдан
attacking	anger	0.865	хучум кардан
annihilated	anger	0.865	нест карда шудааст
angriest	anger	0.864	хашмгинтарин
bloodshed	anger	0.864	хунрезй
smite	anger	0.862	зарба задан
brawl	anger	0.861	занозанӣ
malicious	anger	0.859	бадхоҳ
assassination	anger	0.859	суикасд
strangle	anger	0.859	буғи кардан
hostility	anger	0.859	душманй
assault	anger	0.859	ҳамла
explode	anger	0.859	таркидан
tirade	anger	0.859	тирад
loathsome	anger	0.857	нафратовар
hell	anger	0.853	ҷаҳаннам
murderous	anger	0.853	қотил
attack	anger	0.853	ҳамла
malice	anger	0.852	кина
terrorism	anger	0.851	терроризм
beating	anger	0.849	задан
outrage	anger	0.848	хашму газаб
desecration	anger	0.848	таҳқир кардан
pissingmeoff	anger	0.848	pissingmeoff
destroying	anger	0.844	вайрон кардан
slaughter	anger	0.844	куштан
irate	anger	0.844	хашмгин
violent	anger	0.844	зуровар
stab	anger	0.844	корд задан
abomination	anger	0.844	нафратовар
tumultuous	anger	0.844	пурталотум
infuriate	anger	0.844	хашмгин кардан
obliterate	anger	0.843	нест кардан
belligerent	anger	0.841	чанговар
dumbbitch	anger	0.841	аблаҳ
detest	anger	0.838	нафрат
hostilities	anger	0.837	амалиёти харбй
prick	anger	0.835	шикан
rampage	anger	0.833	хашмгин
horrid	anger	0.833	даҳшатнок
cruelty	anger	0.833	бераҳмӣ
torture	anger	0.833	шиканҷа
rabid	anger	0.833	хашмгин
despicable	anger	0.828	нафратовар
tyrannical	anger	0.828	золим
demonic	anger	0.828	девона
satanic	anger	0.828	шайтонӣ
hate	anger	0.828	нафрат
ragemode	anger	0.828	режими хашмгин
hating	anger	0.828	нафрат
ruinous	anger	0.825	харобкунанда
condemn	anger	0.825	махкум кардан
riots	anger	0.824	ошӯбҳо
demolish	anger	0.824	вайрон кардан
angry	anger	0.824	хашмгин
extermination	anger	0.824	нест кардан
dickhead	anger	0.824	сарзаниш
livid	anger	0.821	ливид
madman	anger	0.820	девона
vindictive	anger	0.819	интиқомгиранда
terrorist	anger	0.818	террорист
threaten	anger	0.818	таҳдид мекунанд
venomous	anger	0.818	заҳрнок
hateyou	anger	0.818	туро чашми дидан надорам
ferocity	anger	0.818	бераҳмӣ
effyou	anger	0.818	эфф ту
abhor	anger	0.816	нафрат
carnage	anger	0.814	куштор
savage	anger	0.814	ваҳшӣ
atrocity	anger	0.814	ваҳшӣ
fucksake	anger	0.812	фоҳиша
abuse	anger	0.812	сӯиистифода
fierce	anger	0.812	шадид
destroyer	anger	0.812	вайронкунанда
angrytweet	anger	0.812	angrytweet
barbaric	anger	0.812	ваҳшиёна
vendetta	anger	0.812	интиқом
pissesmeoff	anger	0.812	бадбахт
pissedoff	anger	0.812	ғазабнок
tyrant	anger	0.812	золим
berserk	anger	0.812	девонавор
fuming	anger	0.812	бухур кардан
anger	anger	0.811	хашм
pieceofshit	anger	0.810	порае
punched	anger	0.803	мушт зад
punching	anger	0.803	мушт задан
slam	anger	0.803	зарба задан
homicide	anger	0.803	одамкушй
bitch	anger	0.803	харом
fights	anger	0.803	мубориза мебарад
ruthless	anger	0.797	бераҳм
villainous	anger	0.797	бадкирдор
destructive	anger	0.797	харобиовар
slap	anger	0.791	торсакӣ задан
riot	anger	0.788	шӯриш
growthefuckup	anger	0.788	афзоиш
punishing	anger	0.788	ҷазо додан
slaughterhouse	anger	0.788	кушхона
yelling	anger	0.788	дод задан
diabolical	anger	0.788	шайтонӣ
destroyed	anger	0.788	нобуд карда шуд
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	чавобгарй
manslaughter	anger	0.783	одамкушй
clash	anger	0.783	задухурд
quarrel	anger	0.781	ҷанҷол
bloody	anger	0.781	хунхор
hellish	anger	0.781	ҷаҳаннам
sinister	anger	0.781	бадбахт
loath	anger	0.781	нафрат
detonation	anger	0.781	таркиш
accusing	anger	0.779	айбдор кардан
fumin	anger	0.779	фумин
hateeee	anger	0.779	нафратовар
treacherous	anger	0.779	хиёнаткор
madder	anger	0.773	девонатар
horrific	anger	0.773	даҳшатнок
revulsion	anger	0.773	нафрат
retaliate	anger	0.773	қасос гирифтан
scorn	anger	0.769	тамасхур кардан
bomb	anger	0.766	бомба
deplorable	anger	0.766	таассуфовар
devastation	anger	0.765	харобй
anarchist	anger	0.765	анархист
firestorm	anger	0.765	тӯфони оташ
resent	anger	0.765	кина кардан
contemptible	anger	0.764	нафратовар
shittest	anger	0.760	бадтарин
rant	anger	0.758	овоза кардан
cruel	anger	0.758	бераҳм
deadly	anger	0.758	марговар
smash	anger	0.758	зарба задан
soangry	anger	0.758	хашмгин
outburst	anger	0.757	таркиш
snarl	anger	0.754	гиря кардан
profane	anger	0.750	фоҳиша
revolting	anger	0.750	саркаш
aggravating	anger	0.750	вазнинкунанда
horror	anger	0.750	даҳшат
despise	anger	0.750	хор кардан
offend	anger	0.750	хафа кардан
stfu	anger	0.750	стфу
vulgarity	anger	0.750	дағалӣ
crazed	anger	0.750	девона
douchebags	anger	0.750	бадбахтиҳо
growling	anger	0.750	гиря кардан
dontmesswithme	anger	0.750	dontmesswithme
screaming	anger	0.742	дод зада
threat	anger	0.742	таҳдид
erupt	anger	0.742	таркиш
horrible	anger	0.742	даҳшатнок
molestation	anger	0.742	таҷовуз
fuckedoff	anger	0.742	лаънат
violence	anger	0.742	зӯроварӣ
bastards	anger	0.741	харомхо
revenge	anger	0.738	қасос гирифтан
menacing	anger	0.735	таҳдидкунанда
crushing	anger	0.735	майда кардан
damn	anger	0.735	Шайтон
catastrophe	anger	0.735	фалокат
demon	anger	0.735	дев
argue	anger	0.734	баҳс кардан
persecute	anger	0.734	таъқиб кардан
deplore	anger	0.734	таассуф кардан
flog	anger	0.734	тозиёна
fedup	anger	0.734	дилбазан
riotous	anger	0.734	ошӯб
vehement	anger	0.734	шиддат
revolt	anger	0.734	исьён
warfare	anger	0.734	чанг
thrash	anger	0.734	зарба задан
altercation	anger	0.729	ҷанҷол
warlike	anger	0.728	чанговар
shitday	anger	0.727	айб
mutiny	anger	0.727	шуриш
castrate	anger	0.727	кастрация кардан
sabotage	anger	0.727	саботаж
malevolent	anger	0.721	бадхоҳ
strike	anger	0.721	зарба задан
disaster	anger	0.721	фалокат
disastrous	anger	0.720	фалокатовар
bastarding	anger	0.719	харом
treachery	anger	0.719	хиёнат
arseholes	anger	0.719	арсеголхо
horseshit	anger	0.719	харгӯш
slay	anger	0.719	куштан
disdain	anger	0.719	нафрат
aggravates	anger	0.719	вазнин мекунад
brutal	anger	0.719	бераҳм
scorching	anger	0.719	сӯзон
devil	anger	0.719	шайтон
madden	anger	0.719	девона
spiteful	anger	0.719	хашмгин
scream	anger	0.719	дод зада
choke	anger	0.719	нафасгир шудан
vermin	anger	0.719	ҳашарот
tumult	anger	0.719	ғавғо
criminal	anger	0.714	чинояткор
mangle	anger	0.714	манга
anarchism	anger	0.714	анархизм
mutilation	anger	0.714	вайрон кардан
denunciation	anger	0.713	танбеҳ
punch	anger	0.713	мушт
virulence	anger	0.712	заҳролудшавӣ
fatal	anger	0.712	марговар
hurting	anger	0.712	дарднок
crucifixion	anger	0.712	маслуб кардан
dontlikeyou	anger	0.712	намедонед
blasphemous	anger	0.712	куфр
holocaust	anger	0.712	Холокост
dumbasses	anger	0.712	аблаҳон
battled	anger	0.712	мубориза бурд
deranged	anger	0.706	асабонӣ
irritated	anger	0.706	хашмгин
atrocious	anger	0.706	ваҳшиёна
evil	anger	0.706	бад
aggravated	anger	0.703	вазнин карда шудааст
intimidation	anger	0.703	тарсондан
dicks	anger	0.703	дикхо
assassin	anger	0.703	қотил
scolding	anger	0.703	сарзаниш кардан
persecution	anger	0.703	таъқиб
slayer	anger	0.703	қотил
kidnap	anger	0.703	дуздидан
aggression	anger	0.702	таҷовуз
armed	anger	0.700	мусаллах
battle	anger	0.697	ҷанг
poison	anger	0.697	заҳр
snarling	anger	0.697	гиря кардан
venom	anger	0.697	заҳр
disgruntled	anger	0.693	норозӣ
resentment	anger	0.691	кина
assailant	anger	0.691	хучумкунанда
insidious	anger	0.691	маккорона
contemptuous	anger	0.690	таҳқиромез
lynch	anger	0.690	линч
temper	anger	0.688	табъ
terrible	anger	0.688	даҳшатнок
disparage	anger	0.688	бадном кардан
lunatic	anger	0.688	девона
bully	anger	0.688	таҳқир
mad	anger	0.688	девона
makesmemad	anger	0.688	мекунад
infanticide	anger	0.688	кӯдаккушӣ
domination	anger	0.688	ҳукмронӣ
peeved	anger	0.688	хашмгин шуд
imprisonment	anger	0.688	зиндон
curse	anger	0.688	лаънат
volatility	anger	0.687	ноустуворӣ
eradication	anger	0.685	нест кардан
eradicate	anger	0.682	нест кардан
tantrum	anger	0.682	хашмгин
scoundrel	anger	0.682	харом
devastate	anger	0.682	хароб кардан
aggressively	anger	0.680	хашмгинона
agitation	anger	0.680	агитация
dictatorship	anger	0.676	диктатура
irritates	anger	0.676	хашмгин мекунад
profanity	anger	0.673	дашном
shove	anger	0.672	тела додан
nasty	anger	0.672	бадбахт
shot	anger	0.672	тир
cruelly	anger	0.672	бераҳмона
shoot	anger	0.672	тир
condemnation	anger	0.672	маҳкумият
crushed	anger	0.672	кӯфта
aggravation	anger	0.672	шиддатнокӣ
poisonous	anger	0.672	заҳрнок
egregious	anger	0.672	даҳшатнок
crime	anger	0.672	ҷиноят
corrupting	anger	0.672	вайронкунанда
dastardly	anger	0.672	далерона
contempt	anger	0.672	нафрат
harmful	anger	0.672	зараровар
expletive	anger	0.672	таҳқиромез
wreak	anger	0.672	вайрон кардан
maniac	anger	0.670	маньяк
cutthroat	anger	0.667	гулӯяш
enemy	anger	0.667	душман
hit	anger	0.667	зад
hateeveryone	anger	0.667	нафрат ба ҳама
eruption	anger	0.667	таркиш
irritable	anger	0.667	асабонӣ
odious	anger	0.667	нафратовар
shooting	anger	0.667	тирпарронй
shout	anger	0.667	фарёд
aggressive	anger	0.667	хашмгин
kick	anger	0.667	зарба задан
combat	anger	0.667	мубориза
fight	anger	0.667	мубориза бурдан
punished	anger	0.662	чазо дода
yell	anger	0.661	фарёд занед
ambush	anger	0.661	камин
harass	anger	0.659	таъқиб кардан
malignant	anger	0.656	ашаддӣ
aggressor	anger	0.656	тачовузкор
gore	anger	0.656	гор
destruction	anger	0.656	харобй
grudge	anger	0.656	кина
antichrist	anger	0.656	зиддимасеҳ
incense	anger	0.656	бухур
expel	anger	0.656	рондан
cranky	anger	0.653	хашмгин
slave	anger	0.652	ғулом
reprisal	anger	0.652	интиқом
growl	anger	0.652	гиря кардан
animosity	anger	0.652	адоват
insurrection	anger	0.652	исьён
clashing	anger	0.652	задухурд
denounce	anger	0.652	маҳкум кардан
offended	anger	0.652	хафа шуд
spank	anger	0.652	задан
insulting	anger	0.652	таҳқиромез
growls	anger	0.649	гиря мекунад
executioner	anger	0.644	чаллод
twat	anger	0.644	тват
doomsday	anger	0.643	киёмат
obscenity	anger	0.641	фаҳш
accused	anger	0.641	айбдор
feud	anger	0.641	хусумат
daemon	anger	0.641	демон
havoc	anger	0.641	вайрон
shackle	anger	0.641	занҷир
inexcusable	anger	0.641	узрнопазир
indignant	anger	0.641	хашмгин
grr	anger	0.641	грр
expulsion	anger	0.641	рондан
bombard	anger	0.641	бомбаборон кардан
spat	anger	0.641	туф кард
arson	anger	0.641	оташ задан
reprimand	anger	0.641	танбеҳ додан
somad	anger	0.637	сомад
frustrated	anger	0.636	маъюс
batter	anger	0.636	хамир
kicking	anger	0.636	лагадкӯб кардан
anarchy	anger	0.636	анархия
spanking	anger	0.636	зарба задан
glaring	anger	0.636	дурахшон
suicidal	anger	0.636	худкушӣ
disgusting	anger	0.636	нафратовар
wound	anger	0.636	захм
hanging	anger	0.636	овезон
poisoned	anger	0.636	заҳролуд шудааст
combatant	anger	0.636	мубориз
wrecked	anger	0.633	вайроншуда
inflict	anger	0.633	бор кардан
grievous	anger	0.632	аламовар
prosecute	anger	0.630	ба ҷавобгарӣ кашидан
agitated	anger	0.630	ба хашм омада
cheat	anger	0.630	фиреб додан
swastika	anger	0.627	свастика
injure	anger	0.625	захмдор кардан
