English Word	Emotion	Emotion-Intensity-Score	Tamil Word
outraged	anger	0.964	சீற்றம்
brutality	anger	0.959	மிருகத்தனம்
hatred	anger	0.953	வெறுப்பு
hateful	anger	0.940	வெறுக்கத்தக்கது
terrorize	anger	0.939	பயமுறுத்துகின்றன
violently	anger	0.938	வன்முறையாக
infuriated	anger	0.938	கோபமடைந்தார்
furious	anger	0.929	சீற்றம்
furiously	anger	0.927	அர்ப்பணிக்கிறார்
enraged	anger	0.927	கோபமடைந்தார்
screwyou	anger	0.924	திருக்குறள்
murderer	anger	0.922	கொலைகாரன்
fury	anger	0.922	சீற்றம்
execution	anger	0.917	மரணதண்டனை
angered	anger	0.916	கோபமடைந்தார்
savagery	anger	0.915	காட்டுமிராண்டித்தனம்
slaughtering	anger	0.914	படுகொலை
veryangry	anger	0.913	கடுங்கோபம்
assassinate	anger	0.912	படுகொலை செய்
annihilation	anger	0.912	அழித்தல்
fuckoff	anger	0.912	புணர்ச்சி
rage	anger	0.911	ஆத்திரம்
loathe	anger	0.909	வெறுப்பு
fucktard	anger	0.906	ஃபக்டார்ட்
roadrage	anger	0.906	சாலை ஆத்திரம்
damnation	anger	0.906	சாபம்
homicidal	anger	0.906	கொலை
furor	anger	0.900	சீற்றம்
hostile	anger	0.898	விரோதமான
annihilate	anger	0.898	நிர்மூலமாக்கு
murder	anger	0.897	கொலை
raging	anger	0.896	பொங்கி எழுகிறது
sopissed	anger	0.894	சோபிக்கப்பட்டது
infuriates	anger	0.894	கோபமூட்டுகிறது
pissed	anger	0.894	கோபமடைந்தார்
rape	anger	0.894	கற்பழிப்பு
ferocious	anger	0.894	மூர்க்கமான
vengeful	anger	0.894	பழிவாங்கும்
obliterated	anger	0.894	அழிக்கப்பட்டது
explosive	anger	0.894	வெடிக்கும்
killing	anger	0.893	கொலை
combative	anger	0.891	போரிடும்
vengeance	anger	0.886	பழிவாங்கும்
gofuckyourself	anger	0.886	உங்களை ஏமாற்றி
torment	anger	0.885	வேதனை
wrath	anger	0.885	கோபம்
vicious	anger	0.884	தீய
massacre	anger	0.882	படுகொலை
threatening	anger	0.882	அச்சுறுத்தும்
abhorrent	anger	0.875	அருவருப்பான
bloodthirsty	anger	0.875	இரத்தவெறி
pissoff	anger	0.875	பிஸ்ஆஃப்
fighting	anger	0.868	சண்டை
attacking	anger	0.865	தாக்குகிறது
annihilated	anger	0.865	நிர்மூலமாக்கப்பட்டது
angriest	anger	0.864	கோபமான
bloodshed	anger	0.864	இரத்தக்களரி
smite	anger	0.862	அடி
brawl	anger	0.861	சண்டை
malicious	anger	0.859	தீங்கிழைக்கும்
assassination	anger	0.859	படுகொலை
strangle	anger	0.859	கழுத்தை நெரிக்கவும்
hostility	anger	0.859	விரோதம்
assault	anger	0.859	தாக்குதல்
explode	anger	0.859	வெடிக்கும்
tirade	anger	0.859	சோர்வு
loathsome	anger	0.857	அருவருப்பானது
hell	anger	0.853	நரகம்
murderous	anger	0.853	கொலைகாரன்
attack	anger	0.853	தாக்குதல்
malice	anger	0.852	தீமை
terrorism	anger	0.851	பயங்கரவாதம்
beating	anger	0.849	அடிப்பது
outrage	anger	0.848	சீற்றம்
desecration	anger	0.848	இடிக்கப்பட்டது
pissingmeoff	anger	0.848	pissingmeoff
destroying	anger	0.844	அழிக்கும்
slaughter	anger	0.844	படுகொலை
irate	anger	0.844	கோபம்
violent	anger	0.844	வன்முறை
stab	anger	0.844	குத்து
abomination	anger	0.844	அருவருப்பு
tumultuous	anger	0.844	கொந்தளிப்பான
infuriate	anger	0.844	சீற்றம்
obliterate	anger	0.843	அழிக்கவும்
belligerent	anger	0.841	போர்க்குணமிக்க
dumbbitch	anger	0.841	ஊமைக்காரி
detest	anger	0.838	வெறுக்கிறேன்
hostilities	anger	0.837	பகைமைகள்
prick	anger	0.835	குத்துதல்
rampage	anger	0.833	வெறித்தனம்
horrid	anger	0.833	பயங்கரமான
cruelty	anger	0.833	கொடுமை
torture	anger	0.833	சித்திரவதை
rabid	anger	0.833	வெறித்தனமான
despicable	anger	0.828	இழிவான
tyrannical	anger	0.828	கொடுங்கோல்
demonic	anger	0.828	பேய்
satanic	anger	0.828	சாத்தானிய
hate	anger	0.828	வெறுக்கிறேன்
ragemode	anger	0.828	ரேஜ்மோட்
hating	anger	0.828	வெறுக்கிறேன்
ruinous	anger	0.825	நாசமான
condemn	anger	0.825	கண்டனம்
riots	anger	0.824	கலவரங்கள்
demolish	anger	0.824	இடிக்க
angry	anger	0.824	கோபம்
extermination	anger	0.824	அழித்தல்
dickhead	anger	0.824	கழுத்து தலை
livid	anger	0.821	கொந்தளிப்பு
madman	anger	0.820	பைத்தியக்காரன்
vindictive	anger	0.819	பழிவாங்கும்
terrorist	anger	0.818	பயங்கரவாதி
threaten	anger	0.818	அச்சுறுத்துகின்றனர்
venomous	anger	0.818	விஷமுள்ள
hateyou	anger	0.818	உன்னை வெறுக்கிறேன்
ferocity	anger	0.818	முரட்டுத்தனம்
effyou	anger	0.818	நீ
abhor	anger	0.816	வெறுப்பு
carnage	anger	0.814	படுகொலை
savage	anger	0.814	காட்டுமிராண்டித்தனமான
atrocity	anger	0.814	கொடுமை
fucksake	anger	0.812	ஃபக்ஸ்கேக்
abuse	anger	0.812	முறைகேடு
fierce	anger	0.812	கடுமையான
destroyer	anger	0.812	அழிப்பவர்
angrytweet	anger	0.812	கோபமான ட்வீட்
barbaric	anger	0.812	காட்டுமிராண்டித்தனமான
vendetta	anger	0.812	பழிவாங்குதல்
