English Word	Emotion	Emotion-Intensity-Score	Tatar Word
outraged	anger	0.964	ачуы чыккан
brutality	anger	0.959	рәхимсезлек
hatred	anger	0.953	нәфрәт
hateful	anger	0.940	нәфрәт
terrorize	anger	0.939	терроризм
violently	anger	0.938	каты
infuriated	anger	0.938	ачуы чыккан
furious	anger	0.929	ярсу
furiously	anger	0.927	ярсып
enraged	anger	0.927	ачуы чыккан
screwyou	anger	0.924	ычкын
murderer	anger	0.922	кеше үтерүче
fury	anger	0.922	ярсу
execution	anger	0.917	башкару
angered	anger	0.916	ачуы чыккан
savagery	anger	0.915	явызлык
slaughtering	anger	0.914	сою
veryangry	anger	0.913	бик
assassinate	anger	0.912	үтерү
annihilation	anger	0.912	юк итү
fuckoff	anger	0.912	fuckәр сүзнең
rage	anger	0.911	ярсу
loathe	anger	0.909	җирәнү
fucktard	anger	0.906	фактард
roadrage	anger	0.906	юл хәрәкәте
damnation	anger	0.906	ләгънәт
homicidal	anger	0.906	үтерү
furor	anger	0.900	ярсу
hostile	anger	0.898	дошман
annihilate	anger	0.898	юк итү
murder	anger	0.897	үтерү
raging	anger	0.896	ярсу
sopissed	anger	0.894	.әр сүзнең
infuriates	anger	0.894	ачуы чыга
pissed	anger	0.894	пис
rape	anger	0.894	көчләү
ferocious	anger	0.894	усал
vengeful	anger	0.894	үч алу
obliterated	anger	0.894	юкка чыгарылган
explosive	anger	0.894	шартлаткыч
killing	anger	0.893	үтерү
combative	anger	0.891	көрәшүче
vengeance	anger	0.886	үч алу
gofuckyourself	anger	0.886	gәр сүзнең
torment	anger	0.885	газап
wrath	anger	0.885	ярсу
vicious	anger	0.884	явыз
massacre	anger	0.882	үтерү
threatening	anger	0.882	куркыту
abhorrent	anger	0.875	җирәнгеч
bloodthirsty	anger	0.875	кансыз
pissoff	anger	0.875	кит моннан
fighting	anger	0.868	сугыш
attacking	anger	0.865	һөҗүм
annihilated	anger	0.865	юк ителде
angriest	anger	0.864	ачулы
bloodshed	anger	0.864	кан кою
smite	anger	0.862	кыйна
brawl	anger	0.861	тартышу
malicious	anger	0.859	явыз
assassination	anger	0.859	үтерү
strangle	anger	0.859	муен
hostility	anger	0.859	дошманлык
assault	anger	0.859	һөҗүм
explode	anger	0.859	шартлау
tirade	anger	0.859	тирада
loathsome	anger	0.857	җирәнгеч
hell	anger	0.853	тәмуг
murderous	anger	0.853	үтерү
attack	anger	0.853	һөҗүм
malice	anger	0.852	явызлык
terrorism	anger	0.851	терроризм
beating	anger	0.849	кыйнау
outrage	anger	0.848	ачу
desecration	anger	0.848	хурлау
pissingmeoff	anger	0.848	pissingmeoff
destroying	anger	0.844	юк итү
slaughter	anger	0.844	сою
irate	anger	0.844	ачулану
violent	anger	0.844	тупас
stab	anger	0.844	пычак
abomination	anger	0.844	җирәнгеч
tumultuous	anger	0.844	шау-шу
infuriate	anger	0.844	ярсу
obliterate	anger	0.843	юкка чыгару
belligerent	anger	0.841	сугышучы
dumbbitch	anger	0.841	телсез
detest	anger	0.838	нәфрәт
hostilities	anger	0.837	дошманлык
prick	anger	0.835	прик
rampage	anger	0.833	киң таралу
horrid	anger	0.833	куркыныч
cruelty	anger	0.833	рәхимсезлек
torture	anger	0.833	җәфалау
rabid	anger	0.833	котыру
despicable	anger	0.828	җирәнгеч
tyrannical	anger	0.828	золымлы
demonic	anger	0.828	җен
satanic	anger	0.828	шайтан
hate	anger	0.828	нәфрәт
ragemode	anger	0.828	рагемод
hating	anger	0.828	нәфрәт
ruinous	anger	0.825	җимергеч
condemn	anger	0.825	хөкем ит
riots	anger	0.824	тәртипсезлекләр
demolish	anger	0.824	җимерү
angry	anger	0.824	ачулы
extermination	anger	0.824	юк итү
dickhead	anger	0.824	дикхед
livid	anger	0.821	җанлы
madman	anger	0.820	акылдан язган
vindictive	anger	0.819	үч алучы
terrorist	anger	0.818	террорист
threaten	anger	0.818	куркыт
venomous	anger	0.818	агулы
hateyou	anger	0.818	сиңа нәфрәт итәм
ferocity	anger	0.818	усаллык
effyou	anger	0.818	.әр сүзнең
abhor	anger	0.816	җирәнгеч
carnage	anger	0.814	кыргын
savage	anger	0.814	вәхши
atrocity	anger	0.814	явызлык
fucksake	anger	0.812	ucksәр сүзнең
abuse	anger	0.812	җәберләү
fierce	anger	0.812	каты
destroyer	anger	0.812	җимергеч
angrytweet	anger	0.812	ачулану
barbaric	anger	0.812	варвар
vendetta	anger	0.812	вендетта
pissesmeoff	anger	0.812	pissesmeoff
pissedoff	anger	0.812	ачулану бетү
tyrant	anger	0.812	золымчы
berserk	anger	0.812	берсерк
fuming	anger	0.812	төтен
anger	anger	0.811	ачу
pieceofshit	anger	0.810	.әр сүзнең
punched	anger	0.803	типтерелгән
punching	anger	0.803	сугу
slam	anger	0.803	слам
homicide	anger	0.803	үтерү
bitch	anger	0.803	канчык
fights	anger	0.803	сугыша
ruthless	anger	0.797	рәхимсез
villainous	anger	0.797	явыз
destructive	anger	0.797	җимергеч
slap	anger	0.791	чабу
riot	anger	0.788	тәртипсезлек
growthefuckup	anger	0.788	.әр сүзнең
punishing	anger	0.788	җәза
slaughterhouse	anger	0.788	сою
yelling	anger	0.788	кычкыру
diabolical	anger	0.788	диаболик
destroyed	anger	0.788	җимерелгән
ragetweet	anger	0.788	рагет
retaliatory	anger	0.788	үч алу
manslaughter	anger	0.783	кеше үтерү
clash	anger	0.783	бәрелеш
quarrel	anger	0.781	бәхәс
bloody	anger	0.781	канлы
hellish	anger	0.781	геллиш
sinister	anger	0.781	явыз
loath	anger	0.781	җирәнү
detonation	anger	0.781	шартлау
accusing	anger	0.779	гаепләү
fumin	anger	0.779	фумин
hateeee	anger	0.779	hateeee
treacherous	anger	0.779	хыянәтче
madder	anger	0.773	акылдан язган
horrific	anger	0.773	коточкыч
revulsion	anger	0.773	нәфрәт
retaliate	anger	0.773	үч алу
scorn	anger	0.769	мыскыллау
bomb	anger	0.766	бомба
deplorable	anger	0.766	аяныч
devastation	anger	0.765	җимерү
anarchist	anger	0.765	анархист
firestorm	anger	0.765	янгын
resent	anger	0.765	үпкәләү
contemptible	anger	0.764	җирәнгеч
shittest	anger	0.760	иң кечкенә
rant	anger	0.758	рант
cruel	anger	0.758	рәхимсез
deadly	anger	0.758	үлемгә китерә
smash	anger	0.758	вату
soangry	anger	0.758	soangry
outburst	anger	0.757	ачулану
snarl	anger	0.754	карак
profane	anger	0.750	пычрак
revolting	anger	0.750	фетнә
aggravating	anger	0.750	авырттыра
horror	anger	0.750	куркыныч
despise	anger	0.750	кимсетү
offend	anger	0.750	рәнҗетү
stfu	anger	0.750	stfu
vulgarity	anger	0.750	вулгаритлык
crazed	anger	0.750	.әр сүзнең
douchebags	anger	0.750	капчыклар
growling	anger	0.750	үкерү
dontmesswithme	anger	0.750	dontmesswithme
screaming	anger	0.742	- дип кычкыра
threat	anger	0.742	куркыныч
erupt	anger	0.742	атылу
horrible	anger	0.742	коточкыч
molestation	anger	0.742	җәберләү
fuckedoff	anger	0.742	fuckәр сүзнең
violence	anger	0.742	көч куллану
bastards	anger	0.741	тупаслар
revenge	anger	0.738	үч алу
menacing	anger	0.735	куркыныч
crushing	anger	0.735	изү
damn	anger	0.735	Каһәр суккыры
catastrophe	anger	0.735	катастрофа
demon	anger	0.735	җен
argue	anger	0.734	бәхәсләшү
persecute	anger	0.734	эзәрлекләү
deplore	anger	0.734	аяныч
flog	anger	0.734	камчы
fedup	anger	0.734	туйдым
riotous	anger	0.734	тәртипсез
vehement	anger	0.734	.әр сүзнең
revolt	anger	0.734	фетнә
warfare	anger	0.734	сугыш
thrash	anger	0.734	ташлау
altercation	anger	0.729	ызгыш
warlike	anger	0.728	сугышчан
shitday	anger	0.727	бук
mutiny	anger	0.727	фетнә
castrate	anger	0.727	кастрат
sabotage	anger	0.727	саботаж
malevolent	anger	0.721	явызлык
strike	anger	0.721	эш ташлау
disaster	anger	0.721	афәт
disastrous	anger	0.720	аяныч
bastarding	anger	0.719	тупас
treachery	anger	0.719	хыянәт
arseholes	anger	0.719	археоллар
horseshit	anger	0.719	ат
slay	anger	0.719	үтерү
disdain	anger	0.719	кимсетү
aggravates	anger	0.719	көчәйтә
brutal	anger	0.719	рәхимсез
scorching	anger	0.719	яндыру
devil	anger	0.719	шайтан
