English Word	Emotion	Emotion-Intensity-Score	Telugu Word
outraged	anger	0.964	ఆగ్రహం వ్యక్తం చేశారు
brutality	anger	0.959	క్రూరత్వం
hatred	anger	0.953	ద్వేషం
hateful	anger	0.940	ద్వేషపూరితమైన
terrorize	anger	0.939	భయభ్రాంతులకు గురిచేస్తాయి
violently	anger	0.938	హింసాత్మకంగా
infuriated	anger	0.938	కోపమొచ్చింది
furious	anger	0.929	కోపంతో
furiously	anger	0.927	ఆవేశంగా
enraged	anger	0.927	కోపమొచ్చింది
screwyou	anger	0.924	మిమ్మల్ని మోసం చేయండి
murderer	anger	0.922	హంతకుడు
fury	anger	0.922	కోపం
execution	anger	0.917	అమలు
angered	anger	0.916	కోపమొచ్చింది
savagery	anger	0.915	క్రూరత్వం
slaughtering	anger	0.914	వధించడం
veryangry	anger	0.913	చాలా కోపము
assassinate	anger	0.912	హత్య
annihilation	anger	0.912	వినాశనం
fuckoff	anger	0.912	ఫక్ఆఫ్
rage	anger	0.911	ఆవేశం
loathe	anger	0.909	అసహ్యించు
fucktard	anger	0.906	ఫక్టార్డ్
roadrage	anger	0.906	రోడ్రేజ్
damnation	anger	0.906	శాపం
homicidal	anger	0.906	నరహత్య
furor	anger	0.900	ఆవేశం
hostile	anger	0.898	విరుద్ధమైన
annihilate	anger	0.898	నిర్మూలించు
murder	anger	0.897	హత్య
raging	anger	0.896	ర్యాగింగ్
sopissed	anger	0.894	sopissed
infuriates	anger	0.894	ఆగ్రహాన్ని కలిగిస్తుంది
pissed	anger	0.894	కోపమొచ్చింది
rape	anger	0.894	అత్యాచారం
ferocious	anger	0.894	క్రూరమైన
vengeful	anger	0.894	ప్రతీకారం తీర్చుకునేవాడు
obliterated	anger	0.894	తుడిచిపెట్టబడింది
explosive	anger	0.894	పేలుడు
killing	anger	0.893	చంపడం
combative	anger	0.891	పోరాటపటిమ
vengeance	anger	0.886	ప్రతీకారం
gofuckyourself	anger	0.886	గోఫక్ యువర్ సెల్ఫ్
torment	anger	0.885	వేదన
wrath	anger	0.885	కోపం
vicious	anger	0.884	విష
massacre	anger	0.882	నరమేధం
threatening	anger	0.882	బెదిరింపు
abhorrent	anger	0.875	అసహ్యకరమైన
bloodthirsty	anger	0.875	రక్తపిపాసి
pissoff	anger	0.875	పిసోఫ్
fighting	anger	0.868	పోరాడుతున్నారు
attacking	anger	0.865	దాడి చేస్తోంది
annihilated	anger	0.865	సర్వనాశనం
angriest	anger	0.864	కోపంగా
bloodshed	anger	0.864	రక్తపాతం
smite	anger	0.862	కొట్టు
brawl	anger	0.861	ఘర్షణ
malicious	anger	0.859	హానికరమైన
assassination	anger	0.859	హత్య
strangle	anger	0.859	గొంతు పిసికి
hostility	anger	0.859	శత్రుత్వం
assault	anger	0.859	దాడి
explode	anger	0.859	పేలుడు
tirade	anger	0.859	అలజడి
loathsome	anger	0.857	అసహ్యకరమైన
hell	anger	0.853	నరకం
murderous	anger	0.853	హంతకుడు
attack	anger	0.853	దాడి
malice	anger	0.852	దురుద్దేశం
terrorism	anger	0.851	తీవ్రవాదం
beating	anger	0.849	కొట్టడం
outrage	anger	0.848	ఆగ్రహం
desecration	anger	0.848	అపవిత్రం
pissingmeoff	anger	0.848	pissingmeoff
destroying	anger	0.844	నాశనం చేస్తోంది
slaughter	anger	0.844	వధ
irate	anger	0.844	కోపము
violent	anger	0.844	హింసాత్మకమైన
stab	anger	0.844	కత్తిపోటు
abomination	anger	0.844	అసహ్యము
tumultuous	anger	0.844	అల్లకల్లోలమైన
infuriate	anger	0.844	కోపగించు
obliterate	anger	0.843	తుడిచిపెట్టు
belligerent	anger	0.841	యుద్ధము చేసేవాడు
dumbbitch	anger	0.841	మూగ
detest	anger	0.838	ద్వేషించు
hostilities	anger	0.837	శత్రుత్వాలు
prick	anger	0.835	గుచ్చు
rampage	anger	0.833	వినాశనం
horrid	anger	0.833	భయంకరమైన
cruelty	anger	0.833	క్రూరత్వం
torture	anger	0.833	చిత్రహింసలు
rabid	anger	0.833	క్రూరమైన
despicable	anger	0.828	తుచ్ఛమైనది
tyrannical	anger	0.828	నిరంకుశమైన
demonic	anger	0.828	దయ్యం
satanic	anger	0.828	పైశాచికమైన
hate	anger	0.828	ద్వేషించు
ragemode	anger	0.828	ragemode
hating	anger	0.828	అసహ్యించుకుంటున్నారు
ruinous	anger	0.825	వినాశకరమైన
condemn	anger	0.825	ఖండించండి
riots	anger	0.824	అల్లర్లు
demolish	anger	0.824	పడగొట్టు
angry	anger	0.824	కోపం
extermination	anger	0.824	నిర్మూలన
dickhead	anger	0.824	తల
livid	anger	0.821	లివిడ్
madman	anger	0.820	పిచ్చివాడు
vindictive	anger	0.819	ప్రతీకారం తీర్చుకునే
terrorist	anger	0.818	తీవ్రవాది
threaten	anger	0.818	బెదిరించే
venomous	anger	0.818	విషపూరితమైన
