English Word	Emotion	Emotion-Intensity-Score	Turkmen Word
outraged	anger	0.964	gaharlandy
brutality	anger	0.959	wagşylyk
hatred	anger	0.953	ýigrenç
hateful	anger	0.940	ýigrenji
terrorize	anger	0.939	terror etmek
violently	anger	0.938	zorluk bilen
infuriated	anger	0.938	gaharlandy
furious	anger	0.929	gaharly
furiously	anger	0.927	gaharly
enraged	anger	0.927	gaharlandy
screwyou	anger	0.924	screwyou
murderer	anger	0.922	ganhor
fury	anger	0.922	gahar
execution	anger	0.917	ýerine ýetirmek
angered	anger	0.916	gaharlandy
savagery	anger	0.915	wagşyçylyk
slaughtering	anger	0.914	soýmak
veryangry	anger	0.913	gaty gümürtik
assassinate	anger	0.912	öldürmek
annihilation	anger	0.912	ýok etmek
fuckoff	anger	0.912	fuckoff
rage	anger	0.911	gahar
loathe	anger	0.909	ýigren
fucktard	anger	0.906	fucktard
roadrage	anger	0.906	ýol ýoly
damnation	anger	0.906	gargyş
homicidal	anger	0.906	adam öldürmek
furor	anger	0.900	gazap
hostile	anger	0.898	duşmançylykly
annihilate	anger	0.898	ýok etmek
murder	anger	0.897	adam öldürmek
raging	anger	0.896	gaharly
sopissed	anger	0.894	sopissed
infuriates	anger	0.894	gaharyny getirýär
pissed	anger	0.894	piss
rape	anger	0.894	zorlamak
ferocious	anger	0.894	gazaply
vengeful	anger	0.894	ar almak
obliterated	anger	0.894	ýok edildi
explosive	anger	0.894	partlaýjy
killing	anger	0.893	öldürmek
combative	anger	0.891	söweşiji
vengeance	anger	0.886	ar almak
gofuckyourself	anger	0.886	Gofuckyourself
torment	anger	0.885	azap
wrath	anger	0.885	gahar
vicious	anger	0.884	wagşy
massacre	anger	0.882	gyrgynçylyk
threatening	anger	0.882	haýbat atýar
abhorrent	anger	0.875	ýigrenji
bloodthirsty	anger	0.875	gan döküşikli
pissoff	anger	0.875	pissoff
fighting	anger	0.868	söweşýär
attacking	anger	0.865	hüjüm etmek
annihilated	anger	0.865	ýok edildi
angriest	anger	0.864	gaharly
bloodshed	anger	0.864	gan dökmek
smite	anger	0.862	ur
brawl	anger	0.861	dawa
malicious	anger	0.859	zyýanly
assassination	anger	0.859	janyna kast etmek
strangle	anger	0.859	bogmak
hostility	anger	0.859	duşmançylyk
assault	anger	0.859	hüjüm etmek
explode	anger	0.859	partlady
tirade	anger	0.859	tirade
loathsome	anger	0.857	ýigrenji
hell	anger	0.853	dowzah
murderous	anger	0.853	ganhor
attack	anger	0.853	hüjüm
malice	anger	0.852	erbetlik
terrorism	anger	0.851	terrorçylyk
beating	anger	0.849	urmak
outrage	anger	0.848	gahar
desecration	anger	0.848	masgaraçylyk
pissingmeoff	anger	0.848	pissingmeoff
destroying	anger	0.844	ýok etmek
slaughter	anger	0.844	soýmak
irate	anger	0.844	gaharlanýar
violent	anger	0.844	zorlukly
stab	anger	0.844	pyçaklamak
abomination	anger	0.844	ýigrenji
tumultuous	anger	0.844	tolgunyşykly
infuriate	anger	0.844	gaharly
obliterate	anger	0.843	ýok etmek
belligerent	anger	0.841	söweşiji
dumbbitch	anger	0.841	lal
detest	anger	0.838	ýigrenç
hostilities	anger	0.837	duşmançylyk
prick	anger	0.835	prik
rampage	anger	0.833	ýaýbaňlaşma
horrid	anger	0.833	elhenç
cruelty	anger	0.833	zalymlyk
torture	anger	0.833	gynamalar
rabid	anger	0.833	guduz
despicable	anger	0.828	ýigrenji
tyrannical	anger	0.828	zalym
demonic	anger	0.828	jyn
satanic	anger	0.828	şeýtan
hate	anger	0.828	ýigrenç
ragemode	anger	0.828	ragemode
hating	anger	0.828	ýigrenmek
ruinous	anger	0.825	weýran ediji
condemn	anger	0.825	ýazgar
riots	anger	0.824	bidüzgünçilikler
demolish	anger	0.824	ýykmak
angry	anger	0.824	gaharly
extermination	anger	0.824	ýok etmek
dickhead	anger	0.824	Dikhead
livid	anger	0.821	janly
madman	anger	0.820	däli
vindictive	anger	0.819	öç almak
terrorist	anger	0.818	terrorist
threaten	anger	0.818	haýbat atyň
venomous	anger	0.818	zäherli
hateyou	anger	0.818	ýigrenýän
ferocity	anger	0.818	gazaplylyk
effyou	anger	0.818	effyou
abhor	anger	0.816	ýigrenji
carnage	anger	0.814	gyrgynçylyk
savage	anger	0.814	wagşy
atrocity	anger	0.814	wagşyçylyk
fucksake	anger	0.812	fucksake
abuse	anger	0.812	hyýanatçylykly peýdalanmak
fierce	anger	0.812	gazaply
destroyer	anger	0.812	ýok ediji
angrytweet	anger	0.812	gaharly
barbaric	anger	0.812	wagşy
vendetta	anger	0.812	vendetta
pissesmeoff	anger	0.812	pissesmeoff
pissedoff	anger	0.812	pissedoff
tyrant	anger	0.812	zalym
berserk	anger	0.812	Berserk
fuming	anger	0.812	tüsse
anger	anger	0.811	gahar
pieceofshit	anger	0.810	bölek
punched	anger	0.803	jezalandyryldy
punching	anger	0.803	urmak
slam	anger	0.803	slam
homicide	anger	0.803	adam öldürmek
bitch	anger	0.803	ganjyk
fights	anger	0.803	söweşýär
ruthless	anger	0.797	rehimsiz
villainous	anger	0.797	wagşy
destructive	anger	0.797	weýran ediji
slap	anger	0.791	şarpyk çal
riot	anger	0.788	bidüzgünçilik
growthefuckup	anger	0.788	ösdürip ýetişdirmek
punishing	anger	0.788	jeza bermek
slaughterhouse	anger	0.788	gyrgynçylyk
yelling	anger	0.788	gygyrýar
diabolical	anger	0.788	diaboliki
destroyed	anger	0.788	ýok edildi
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	ar alyş
manslaughter	anger	0.783	ganhorluk
clash	anger	0.783	çaknyşyk
quarrel	anger	0.781	dawa
bloody	anger	0.781	ganly
hellish	anger	0.781	dowzah
sinister	anger	0.781	günäkär
loath	anger	0.781	ýigrenç
detonation	anger	0.781	partlama
accusing	anger	0.779	günäkärlemek
fumin	anger	0.779	fumin
hateeee	anger	0.779	hateeee
treacherous	anger	0.779	dönük
madder	anger	0.773	däli
horrific	anger	0.773	elhenç
revulsion	anger	0.773	ýigrenmek
retaliate	anger	0.773	ar almak
scorn	anger	0.769	masgaralamak
bomb	anger	0.766	bomba
deplorable	anger	0.766	gynandyryjy
devastation	anger	0.765	weýrançylyk
anarchist	anger	0.765	anarhist
firestorm	anger	0.765	ýangyn
resent	anger	0.765	gaharlanmak
contemptible	anger	0.764	ýigrenji
shittest	anger	0.760	iň kiçi
rant	anger	0.758	rant
cruel	anger	0.758	rehimsiz
deadly	anger	0.758	ölüm howply
smash	anger	0.758	döwmek
soangry	anger	0.758	soganry
outburst	anger	0.757	gazap
snarl	anger	0.754	garagol
profane	anger	0.750	haram
revolting	anger	0.750	gozgalaň
aggravating	anger	0.750	agyrlaşdyrýar
horror	anger	0.750	elhençlik
