English Word	Emotion	Emotion-Intensity-Score	Urdu Word
outraged	anger	0.964	ناراض
brutality	anger	0.959	سفاکیت
hatred	anger	0.953	نفرت
hateful	anger	0.940	نفرت انگیز
terrorize	anger	0.939	دہشت زدہ کرنا
violently	anger	0.938	تشدد سے
infuriated	anger	0.938	مشتعل
furious	anger	0.929	غصہ
furiously	anger	0.927	غصے سے
enraged	anger	0.927	مشتعل
screwyou	anger	0.924	آپ کو سکرو
murderer	anger	0.922	قاتل
fury	anger	0.922	غصہ
execution	anger	0.917	عملدرآمد
angered	anger	0.916	ناراض
savagery	anger	0.915	وحشیانہ
slaughtering	anger	0.914	ذبح
veryangry	anger	0.913	بہت غصے میں
assassinate	anger	0.912	قتل
annihilation	anger	0.912	فنا
fuckoff	anger	0.912	بھاڑ میں جاؤ
rage	anger	0.911	غصہ
loathe	anger	0.909	نفرت
fucktard	anger	0.906	بدتمیز
roadrage	anger	0.906	روڈریج
damnation	anger	0.906	لعنت
homicidal	anger	0.906	قتل عام
furor	anger	0.900	ہنگامہ
hostile	anger	0.898	دشمنی
annihilate	anger	0.898	فنا کرنا
murder	anger	0.897	قتل
raging	anger	0.896	مشتعل
sopissed	anger	0.894	سوپسڈ
infuriates	anger	0.894	مشتعل
pissed	anger	0.894	ناراض
rape	anger	0.894	عصمت دری
ferocious	anger	0.894	زبردست
vengeful	anger	0.894	انتقامی
obliterated	anger	0.894	مٹا دیا
explosive	anger	0.894	دھماکہ خیز
killing	anger	0.893	قتل
combative	anger	0.891	جنگجو
vengeance	anger	0.886	انتقام
gofuckyourself	anger	0.886	خود کو بھٹکانا
torment	anger	0.885	عذاب
wrath	anger	0.885	غصہ
vicious	anger	0.884	شیطانی
massacre	anger	0.882	قتل عام
threatening	anger	0.882	دھمکی دینے والا
abhorrent	anger	0.875	مکروہ
bloodthirsty	anger	0.875	خون کے پیاسے
pissoff	anger	0.875	پیشاب
fighting	anger	0.868	لڑائی
attacking	anger	0.865	حملہ کرنا
annihilated	anger	0.865	فنا کر دیا
angriest	anger	0.864	ناراض
bloodshed	anger	0.864	خونریزی
smite	anger	0.862	مارنا
brawl	anger	0.861	جھگڑا
malicious	anger	0.859	بدنیتی پر مبنی
assassination	anger	0.859	قتل
strangle	anger	0.859	گلا گھونٹنا
hostility	anger	0.859	دشمنی
assault	anger	0.859	حملہ
explode	anger	0.859	پھٹنا
tirade	anger	0.859	ٹائریڈ
loathsome	anger	0.857	نفرت انگیز
hell	anger	0.853	جہنم
murderous	anger	0.853	قاتل
attack	anger	0.853	حملہ
malice	anger	0.852	بدنیتی
terrorism	anger	0.851	دہشت گردی
beating	anger	0.849	مارنا
outrage	anger	0.848	غصہ
desecration	anger	0.848	بے حرمتی
pissingmeoff	anger	0.848	pissingmeoff
destroying	anger	0.844	تباہ کرنا
slaughter	anger	0.844	ذبح
irate	anger	0.844	ناراض
violent	anger	0.844	پرتشدد
stab	anger	0.844	وار
abomination	anger	0.844	مکروہ
