English Word	Emotion	Emotion-Intensity-Score	Uyghur Word
outraged	anger	0.964	غەزەپلەنگەن
brutality	anger	0.959	ۋەھشىيلىك
hatred	anger	0.953	ئۆچمەنلىك
hateful	anger	0.940	نەپرەت
terrorize	anger	0.939	ۋەھىمە
violently	anger	0.938	زوراۋان
infuriated	anger	0.938	ئاچچىقلاندى
furious	anger	0.929	ئاچچىقلانغان
furiously	anger	0.927	ئاچچىقلانغان
enraged	anger	0.927	ئاچچىقلاندى
screwyou	anger	0.924	screwyou
murderer	anger	0.922	قاتىل
fury	anger	0.922	غەزەپ
execution	anger	0.917	ئىجرا
angered	anger	0.916	ئاچچىقلاندى
savagery	anger	0.915	ۋەھشىيلىك
slaughtering	anger	0.914	بوغۇزلاش
veryangry	anger	0.913	veryangry
assassinate	anger	0.912	قاتىل
annihilation	anger	0.912	يوقىتىش
fuckoff	anger	0.912	fuckoff
rage	anger	0.911	غەزەپ
loathe	anger	0.909	loathe
fucktard	anger	0.906	fucktard
roadrage	anger	0.906	roadrage
damnation	anger	0.906	damnation
homicidal	anger	0.906	قاتىللىق
furor	anger	0.900	furor
hostile	anger	0.898	دۈشمەن
annihilate	anger	0.898	يوقىتىش
murder	anger	0.897	قاتىل
raging	anger	0.896	ئاچچىق
sopissed	anger	0.894	sopissed
infuriates	anger	0.894	غەزەپلىنىدۇ
pissed	anger	0.894	pissed
rape	anger	0.894	باسقۇنچىلىق
ferocious	anger	0.894	رەھىمسىز
vengeful	anger	0.894	قىساسكار
obliterated	anger	0.894	ئەمەلدىن قالدۇرۇلدى
explosive	anger	0.894	پارتىلاتقۇچ دورا
killing	anger	0.893	قاتىل
combative	anger	0.891	جەڭگىۋار
vengeance	anger	0.886	ئۆچ ئېلىش
gofuckyourself	anger	0.886	gofuckyourself
torment	anger	0.885	ئازاب
wrath	anger	0.885	غەزەپ
vicious	anger	0.884	vicious
massacre	anger	0.882	قىرغىنچىلىق
threatening	anger	0.882	تەھدىد
abhorrent	anger	0.875	يىرگىنچلىك
bloodthirsty	anger	0.875	قانخور
pissoff	anger	0.875	pissoff
fighting	anger	0.868	ئۇرۇش
attacking	anger	0.865	ھۇجۇم قىلىش
annihilated	anger	0.865	يوقىتىلدى
angriest	anger	0.864	ئاچچىق
bloodshed	anger	0.864	قان تۆكۈش
smite	anger	0.862	ئۇر
brawl	anger	0.861	جېدەل
malicious	anger	0.859	يامان غەرەزلىك
assassination	anger	0.859	قەستلەپ ئۆلتۈرۈش
strangle	anger	0.859	بوغۇش
hostility	anger	0.859	دۈشمەنلىك
assault	anger	0.859	ھۇجۇم قىلىش
explode	anger	0.859	پارتىلىدى
tirade	anger	0.859	tirade
loathsome	anger	0.857	يىرگىنچلىك
hell	anger	0.853	دوزاخ
murderous	anger	0.853	قاتىل
attack	anger	0.853	ھۇجۇم
malice	anger	0.852	يامان غەرەز
terrorism	anger	0.851	تېرورلۇق
beating	anger	0.849	ئۇرۇش
outrage	anger	0.848	غەزەپ
desecration	anger	0.848	ھاقارەت
pissingmeoff	anger	0.848	pissingmeoff
destroying	anger	0.844	بۇزغۇنچىلىق
slaughter	anger	0.844	بوغۇزلاش
irate	anger	0.844	irate
violent	anger	0.844	زوراۋان
stab	anger	0.844	پىچاق
abomination	anger	0.844	يىرگىنچلىك
tumultuous	anger	0.844	قاينام-تاشقىنلىق
infuriate	anger	0.844	ئاچچىقلىنىش
obliterate	anger	0.843	ئەمەلدىن قالدۇرۇڭ
belligerent	anger	0.841	جەڭگىۋار
dumbbitch	anger	0.841	dumbbitch
detest	anger	0.838	نەپرەت
hostilities	anger	0.837	دۈشمەنلىك
prick	anger	0.835	prick
rampage	anger	0.833	قالايمىقانچىلىق
horrid	anger	0.833	قورقۇنچلۇق
cruelty	anger	0.833	رەھىمسىزلىك
torture	anger	0.833	قىيناش
rabid	anger	0.833	rabid
despicable	anger	0.828	پەسكەش
tyrannical	anger	0.828	زالىم
demonic	anger	0.828	جىن
satanic	anger	0.828	شەيتان
hate	anger	0.828	ئۆچ
ragemode	anger	0.828	ragemode
hating	anger	0.828	ئۆچ
ruinous	anger	0.825	ۋەيران قىلغۇچ
condemn	anger	0.825	ئەيىبلەش
riots	anger	0.824	مالىمانچىلىق
demolish	anger	0.824	چېقىش
angry	anger	0.824	ئاچچىقلاندى
extermination	anger	0.824	يوقىتىش
dickhead	anger	0.824	dickhead
livid	anger	0.821	livid
madman	anger	0.820	madman
vindictive	anger	0.819	ئۆچ ئېلىش
terrorist	anger	0.818	تېرورچى
threaten	anger	0.818	تەھدىد
venomous	anger	0.818	زەھەرلىك
hateyou	anger	0.818	hateyou
ferocity	anger	0.818	ۋەھشىيلىك
effyou	anger	0.818	effyou
abhor	anger	0.816	يىرگىنچلىك
carnage	anger	0.814	قىرغىنچىلىق
savage	anger	0.814	ۋەھشىي
atrocity	anger	0.814	ۋەھشىيلىك
fucksake	anger	0.812	fucksake
abuse	anger	0.812	خورلاش
fierce	anger	0.812	رەھىمسىز
destroyer	anger	0.812	بۇزغۇچى
angrytweet	anger	0.812	ئاچچىق
barbaric	anger	0.812	ۋەھشىي
vendetta	anger	0.812	vendetta
pissesmeoff	anger	0.812	pissesmeoff
pissedoff	anger	0.812	pissedoff
tyrant	anger	0.812	زالىم
berserk	anger	0.812	berserk
fuming	anger	0.812	fuming
anger	anger	0.811	غەزەپ
pieceofshit	anger	0.810	pieceofshit
punched	anger	0.803	مۇشتلىدى
punching	anger	0.803	مۇشتلاش
slam	anger	0.803	slam
homicide	anger	0.803	قاتىللىق
bitch	anger	0.803	bitch
fights	anger	0.803	ئۇرۇش
ruthless	anger	0.797	رەھىمسىز
villainous	anger	0.797	قەبىھ
destructive	anger	0.797	بۇزغۇنچىلىق
slap	anger	0.791	slap
riot	anger	0.788	مالىمانچىلىق
growthefuckup	anger	0.788	growthefuckup
punishing	anger	0.788	جازالاش
slaughterhouse	anger	0.788	بوغۇزلاش ئۆيى
yelling	anger	0.788	- دەپ توۋلىدى
diabolical	anger	0.788	diabolical
destroyed	anger	0.788	ۋەيران بولدى
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	ئۆچ ئېلىش
manslaughter	anger	0.783	قاتىل
clash	anger	0.783	توقۇنۇش
quarrel	anger	0.781	جېدەل
bloody	anger	0.781	قېنى
hellish	anger	0.781	جەھەننەم
sinister	anger	0.781	گۇناھكار
loath	anger	0.781	loath
detonation	anger	0.781	پارتىلاش
accusing	anger	0.779	ئەيىبلەش
fumin	anger	0.779	fumin
hateeee	anger	0.779	hateeee
treacherous	anger	0.779	خىيانەتچى
madder	anger	0.773	madder
horrific	anger	0.773	قورقۇنچلۇق
revulsion	anger	0.773	رەت قىلىش
retaliate	anger	0.773	ئۆچ ئېلىش
scorn	anger	0.769	مەسخىرە
bomb	anger	0.766	بومبا
deplorable	anger	0.766	ئېچىنىشلىق
devastation	anger	0.765	بۇزغۇنچىلىق
anarchist	anger	0.765	anarchist
firestorm	anger	0.765	ئوت ئاپىتى
resent	anger	0.765	رەنجىش
contemptible	anger	0.764	ھۆرمەتسىزلىك
shittest	anger	0.760	shittest
rant	anger	0.758	rant
cruel	anger	0.758	رەھىمسىز
deadly	anger	0.758	ئەجەللىك
smash	anger	0.758	smash
soangry	anger	0.758	soangry
outburst	anger	0.757	outburst
snarl	anger	0.754	snarl
profane	anger	0.750	ناپاك
revolting	anger	0.750	توپىلاڭ
aggravating	anger	0.750	ئېغىرلاشتۇرۇۋاتىدۇ
horror	anger	0.750	قورقۇنچلۇق
despise	anger	0.750	پەس كۆرۈش
offend	anger	0.750	رەنجىتىش
stfu	anger	0.750	stfu
vulgarity	anger	0.750	سەتچىلىك
crazed	anger	0.750	ساراڭ
douchebags	anger	0.750	douchebags
growling	anger	0.750	ھۆركىرىمەكتە
dontmesswithme	anger	0.750	dontmesswithme
screaming	anger	0.742	- دەپ ۋاقىرىدى
threat	anger	0.742	تەھدىت
erupt	anger	0.742	پارتىلاش
horrible	anger	0.742	قورقۇنچلۇق
molestation	anger	0.742	خورلاش
fuckedoff	anger	0.742	fuckedoff
violence	anger	0.742	زوراۋانلىق
bastards	anger	0.741	bastards
revenge	anger	0.738	ئۆچ ئېلىش
menacing	anger	0.735	menacing
crushing	anger	0.735	ئېزىش
damn	anger	0.735	لەنەت
catastrophe	anger	0.735	ئاپەت
demon	anger	0.735	جىن
argue	anger	0.734	تالاش-تارتىش قىلىش
persecute	anger	0.734	زىيانكەشلىك قىلىش
deplore	anger	0.734	ئېچىنىشلىق
flog	anger	0.734	flog
fedup	anger	0.734	fedup
riotous	anger	0.734	مالىمانچىلىق
vehement	anger	0.734	vehement
revolt	anger	0.734	توپىلاڭ
warfare	anger	0.734	ئۇرۇش
thrash	anger	0.734	thrash
altercation	anger	0.729	تالاش-تارتىش
warlike	anger	0.728	جەڭگىۋار
shitday	anger	0.727	shitday
mutiny	anger	0.727	توپىلاڭ
castrate	anger	0.727	castrate
sabotage	anger	0.727	بۇزغۇنچىلىق
malevolent	anger	0.721	يامان نىيەتلىك
strike	anger	0.721	ئىش تاشلاش
disaster	anger	0.721	ئاپەت
disastrous	anger	0.720	ئاپەت
bastarding	anger	0.719	bastarding
treachery	anger	0.719	خىيانەت
arseholes	anger	0.719	arseholes
horseshit	anger	0.719	horseshit
slay	anger	0.719	slay
disdain	anger	0.719	ھۆرمەتسىزلىك
aggravates	anger	0.719	ئېغىرلاشتۇرۇۋېتىدۇ
brutal	anger	0.719	رەھىمسىز
scorching	anger	0.719	كۆيدۈرۈش
devil	anger	0.719	ئىبلىس
madden	anger	0.719	madden
spiteful	anger	0.719	رەھىمسىز
scream	anger	0.719	دەپ ۋاقىرىغىن
choke	anger	0.719	بوغۇلۇش
vermin	anger	0.719	vermin
tumult	anger	0.719	قالايمىقانچىلىق
criminal	anger	0.714	جىنايەتچى
mangle	anger	0.714	mangle
anarchism	anger	0.714	anarchism
mutilation	anger	0.714	كېسىش
denunciation	anger	0.713	ئىنكار قىلىش
punch	anger	0.713	مۇشت
virulence	anger	0.712	virulence
fatal	anger	0.712	fatal
hurting	anger	0.712	جاراھەت
crucifixion	anger	0.712	كرېستكە مىخلىنىش
dontlikeyou	anger	0.712	dontlikeyou
blasphemous	anger	0.712	كۇپۇرلۇق
holocaust	anger	0.712	چوڭ قىرغىنچىلىق
dumbasses	anger	0.712	dumbasses
battled	anger	0.712	جەڭ قىلدى
deranged	anger	0.706	deranged
irritated	anger	0.706	ئاچچىقلاندى
atrocious	anger	0.706	ۋەھشىي
evil	anger	0.706	يامان
aggravated	anger	0.703	ئېغىرلاشتى
intimidation	anger	0.703	قورقۇتۇش
dicks	anger	0.703	dicks
assassin	anger	0.703	قاتىل
scolding	anger	0.703	تىللاۋاتىدۇ
persecution	anger	0.703	زىيانكەشلىك
slayer	anger	0.703	قاتىل
kidnap	anger	0.703	تۇتقۇن قىلىش
aggression	anger	0.702	تاجاۋۇزچىلىق
armed	anger	0.700	قوراللىق
battle	anger	0.697	جەڭ
poison	anger	0.697	زەھەرلىك
snarling	anger	0.697	snarling
venom	anger	0.697	زەھەرلىك
disgruntled	anger	0.693	نارازى
resentment	anger	0.691	رەنجىش
assailant	anger	0.691	ھۇجۇم قىلغۇچى
insidious	anger	0.691	ھىيلىگەر
contemptuous	anger	0.690	ھۆرمەتسىزلىك
lynch	anger	0.690	lynch
temper	anger	0.688	مىجەزى
terrible	anger	0.688	قورقۇنچلۇق
disparage	anger	0.688	كەمسىتىش
lunatic	anger	0.688	ساراڭ
bully	anger	0.688	بوزەك قىلىش
mad	anger	0.688	ساراڭ
makesmemad	anger	0.688	makememad
infanticide	anger	0.688	بوۋاقلار
