English Word	Emotion	Emotion-Intensity-Score	Uzbek Word
outraged	anger	0.964	g'azablangan
brutality	anger	0.959	shafqatsizlik
hatred	anger	0.953	nafrat
hateful	anger	0.940	nafratli
terrorize	anger	0.939	dahshatga solish
violently	anger	0.938	zo'ravonlik bilan
infuriated	anger	0.938	g'azablangan
furious	anger	0.929	g'azablangan
furiously	anger	0.927	jahl bilan
enraged	anger	0.927	g'azablangan
screwyou	anger	0.924	bor yo'qol
murderer	anger	0.922	qotil
fury	anger	0.922	g'azab
execution	anger	0.917	ijro
angered	anger	0.916	jahli chiqdi
savagery	anger	0.915	vahshiylik
slaughtering	anger	0.914	so'yish
veryangry	anger	0.913	juda g'azablangan
assassinate	anger	0.912	suiqasd qilish
annihilation	anger	0.912	yo'q qilish
fuckoff	anger	0.912	ahmoq
rage	anger	0.911	g'azab
loathe	anger	0.909	nafratlanmoq
fucktard	anger	0.906	ahmoq
roadrage	anger	0.906	yo'l harakati
damnation	anger	0.906	la'nat
homicidal	anger	0.906	qotillik
furor	anger	0.900	g'azab
hostile	anger	0.898	dushman
annihilate	anger	0.898	yo'q qilish
murder	anger	0.897	qotillik
raging	anger	0.896	g'azablangan
sopissed	anger	0.894	xafa bo'ldi
infuriates	anger	0.894	g'azablantiradi
pissed	anger	0.894	jahli chiqdi
rape	anger	0.894	zo'rlash
ferocious	anger	0.894	vahshiy
vengeful	anger	0.894	qasoskor
obliterated	anger	0.894	yo'q qilingan
explosive	anger	0.894	portlovchi
killing	anger	0.893	o'ldirish
combative	anger	0.891	jangovar
vengeance	anger	0.886	qasos
gofuckyourself	anger	0.886	o'zingni o'zi
torment	anger	0.885	azob
wrath	anger	0.885	g'azab
vicious	anger	0.884	shafqatsiz
massacre	anger	0.882	qirg'in
threatening	anger	0.882	tahdid qilish
abhorrent	anger	0.875	jirkanch
bloodthirsty	anger	0.875	qonxo'r
pissoff	anger	0.875	asabiylashish
fighting	anger	0.868	jang qilish
attacking	anger	0.865	hujum qilish
annihilated	anger	0.865	yo'q qilingan
angriest	anger	0.864	eng jahli
bloodshed	anger	0.864	qon to'kish
smite	anger	0.862	urish
brawl	anger	0.861	mushtlashuv
malicious	anger	0.859	zararli
assassination	anger	0.859	suiqasd
strangle	anger	0.859	bo'g'moq
hostility	anger	0.859	dushmanlik
assault	anger	0.859	hujum
explode	anger	0.859	portlash
tirade	anger	0.859	tirad
loathsome	anger	0.857	jirkanch
hell	anger	0.853	jahannam
murderous	anger	0.853	qotil
attack	anger	0.853	hujum
malice	anger	0.852	yomonlik
terrorism	anger	0.851	terrorizm
beating	anger	0.849	urish
outrage	anger	0.848	g'azab
desecration	anger	0.848	tahqirlash
pissingmeoff	anger	0.848	pissingmeoff
destroying	anger	0.844	vayron qilish
slaughter	anger	0.844	so'yish
irate	anger	0.844	g'azablanish
violent	anger	0.844	zo'ravon
stab	anger	0.844	pichoq
abomination	anger	0.844	jirkanchlik
tumultuous	anger	0.844	shov-shuvli
infuriate	anger	0.844	g'azablantirmoq
obliterate	anger	0.843	yo'q qilish
belligerent	anger	0.841	urushqoq
dumbbitch	anger	0.841	ahmoq
detest	anger	0.838	nafrat
hostilities	anger	0.837	harbiy harakatlar
prick	anger	0.835	sanchmoq
rampage	anger	0.833	tajovuz
horrid	anger	0.833	dahshatli
cruelty	anger	0.833	shafqatsizlik
torture	anger	0.833	qiynoqlar
rabid	anger	0.833	quturgan
despicable	anger	0.828	jirkanch
tyrannical	anger	0.828	zolim
demonic	anger	0.828	iblis
satanic	anger	0.828	shaytoniy
hate	anger	0.828	nafrat
ragemode	anger	0.828	ragemode
hating	anger	0.828	nafratlanish
ruinous	anger	0.825	halokatli
condemn	anger	0.825	qoralamoq
riots	anger	0.824	tartibsizliklar
demolish	anger	0.824	vayron qilmoq
angry	anger	0.824	badjahl
extermination	anger	0.824	yo'q qilish
dickhead	anger	0.824	dickhead
livid	anger	0.821	jonli
madman	anger	0.820	jinni
vindictive	anger	0.819	qasoskor
terrorist	anger	0.818	terrorchi
threaten	anger	0.818	tahdid qilish
venomous	anger	0.818	zaharli
hateyou	anger	0.818	sizdan nafratlanaman
ferocity	anger	0.818	shafqatsizlik
