English Word	Emotion	Emotion-Intensity-Score	Vietnamese Word
outraged	anger	0.964	xúc phạm
brutality	anger	0.959	sự tàn bạo
hatred	anger	0.953	sự thù ghét
hateful	anger	0.940	đáng ghét
terrorize	anger	0.939	khủng bố
violently	anger	0.938	bạo lực
infuriated	anger	0.938	tức giận
furious	anger	0.929	giận dữ
furiously	anger	0.927	giận dữ
enraged	anger	0.927	phẫn nộ
screwyou	anger	0.924	bạn
murderer	anger	0.922	kẻ giết người
fury	anger	0.922	cơn giận
execution	anger	0.917	chấp hành
angered	anger	0.916	tức giận
savagery	anger	0.915	man rợ
slaughtering	anger	0.914	giết mổ
veryangry	anger	0.913	rất tức giận
assassinate	anger	0.912	ám sát
annihilation	anger	0.912	sự hủy diệt
fuckoff	anger	0.912	khốn kiếp
rage	anger	0.911	cơn thịnh nộ
loathe	anger	0.909	không ưa
fucktard	anger	0.906	khốn nạn
roadrage	anger	0.906	lòng đường
damnation	anger	0.906	sự chết tiệt
homicidal	anger	0.906	giết người
furor	anger	0.900	furor
hostile	anger	0.898	thù địch
annihilate	anger	0.898	hủy diệt
murder	anger	0.897	giết người
raging	anger	0.896	hoành hành
sopissed	anger	0.894	ướt đẫm
infuriates	anger	0.894	tức giận
pissed	anger	0.894	bực mình
rape	anger	0.894	hiếp dâm
ferocious	anger	0.894	hung dữ
vengeful	anger	0.894	trả thù
obliterated	anger	0.894	xóa sổ
explosive	anger	0.894	nổ
killing	anger	0.893	giết chóc
combative	anger	0.891	gây chiến
vengeance	anger	0.886	sự báo thù
gofuckyourself	anger	0.886	gofuckyourself
torment	anger	0.885	dằn vặt
wrath	anger	0.885	cơn thịnh nộ
vicious	anger	0.884	luẩn quẩn
massacre	anger	0.882	tàn sát
threatening	anger	0.882	đe dọa
abhorrent	anger	0.875	ghê tởm
bloodthirsty	anger	0.875	khát máu
pissoff	anger	0.875	làm phiền
fighting	anger	0.868	Cố lên
attacking	anger	0.865	tấn công
annihilated	anger	0.865	tiêu diệt
angriest	anger	0.864	giận dữ nhất
bloodshed	anger	0.864	đổ máu
smite	anger	0.862	đánh lén
brawl	anger	0.861	ẩu đả
malicious	anger	0.859	độc hại
assassination	anger	0.859	Sự am sát
strangle	anger	0.859	bóp cổ
hostility	anger	0.859	thù địch
assault	anger	0.859	hành hung
explode	anger	0.859	phát nổ
tirade	anger	0.859	tirade
loathsome	anger	0.857	không ưa
hell	anger	0.853	Địa ngục
