English Word	Emotion	Emotion-Intensity-Score	Welsh Word
outraged	anger	0.964	cynddeiriog
brutality	anger	0.959	creulondeb
hatred	anger	0.953	casineb
hateful	anger	0.940	atgas
terrorize	anger	0.939	terfysgu
violently	anger	0.938	yn dreisgar
infuriated	anger	0.938	cynddeiriog
furious	anger	0.929	gandryll
furiously	anger	0.927	yn gandryll
enraged	anger	0.927	cynddeiriog
screwyou	anger	0.924	sgriwio chi
murderer	anger	0.922	llofrudd
fury	anger	0.922	cynddaredd
execution	anger	0.917	dienyddiad
angered	anger	0.916	gwylltio
savagery	anger	0.915	anwaraidd
slaughtering	anger	0.914	lladd
veryangry	anger	0.913	yn flin iawn
assassinate	anger	0.912	llofruddio
annihilation	anger	0.912	difodiant
fuckoff	anger	0.912	ffycoff
rage	anger	0.911	cynddaredd
loathe	anger	0.909	casau
fucktard	anger	0.906	ffwctard
roadrage	anger	0.906	cynddaredd
damnation	anger	0.906	damnedigaeth
homicidal	anger	0.906	lladdiad
furor	anger	0.900	ffwr
hostile	anger	0.898	gelyniaethus
annihilate	anger	0.898	difodi
murder	anger	0.897	llofruddiaeth
raging	anger	0.896	cynddeiriog
sopissed	anger	0.894	sopissed
infuriates	anger	0.894	cynddeiriog
pissed	anger	0.894	pissed
rape	anger	0.894	treisio
ferocious	anger	0.894	ffyrnig
vengeful	anger	0.894	dialgar
obliterated	anger	0.894	dileu
explosive	anger	0.894	ffrwydrol
killing	anger	0.893	lladd
combative	anger	0.891	ymladdgar
vengeance	anger	0.886	dialedd
gofuckyourself	anger	0.886	gofuckeich hun
torment	anger	0.885	poenydio
wrath	anger	0.885	digofaint
vicious	anger	0.884	dieflig
massacre	anger	0.882	cyflafan
threatening	anger	0.882	bygythiol
abhorrent	anger	0.875	ffiaidd
bloodthirsty	anger	0.875	gwaedlyd
pissoff	anger	0.875	pissoff
fighting	anger	0.868	ymladd
attacking	anger	0.865	ymosod
annihilated	anger	0.865	difodi
angriest	anger	0.864	blin
bloodshed	anger	0.864	tywallt gwaed
smite	anger	0.862	taraw
brawl	anger	0.861	ffrwgwd
malicious	anger	0.859	maleisus
assassination	anger	0.859	llofruddiaeth
