English Word	Emotion	Emotion-Intensity-Score	Xhosa Word
outraged	anger	0.964	enomsindo
brutality	anger	0.959	inkohlakalo
hatred	anger	0.953	inzondo
hateful	anger	0.940	nentiyo
terrorize	anger	0.939	yoyikisa
violently	anger	0.938	ngogonyamelo
infuriated	anger	0.938	nomsindo
furious	anger	0.929	ngumsindo
furiously	anger	0.927	ngomsindo
enraged	anger	0.927	ngumsindo
screwyou	anger	0.924	nyisa wena
murderer	anger	0.922	umbulali
fury	anger	0.922	ngumsindo
execution	anger	0.917	ukubulawa
angered	anger	0.916	nomsindo
savagery	anger	0.915	ubundlavini
slaughtering	anger	0.914	ukuxhela
veryangry	anger	0.913	ndinomsindo kakhulu
assassinate	anger	0.912	bulala
annihilation	anger	0.912	imbubhiso
fuckoff	anger	0.912	Mka le
rage	anger	0.911	umsindo
loathe	anger	0.909	zothe
fucktard	anger	0.906	i-fucktard
roadrage	anger	0.906	umsindo wendlela
damnation	anger	0.906	umgwebo
homicidal	anger	0.906	ukubulala
furor	anger	0.900	uburharha
hostile	anger	0.898	enobutshaba
annihilate	anger	0.898	bhangisa
murder	anger	0.897	ukubulala
raging	anger	0.896	nomsindo
sopissed	anger	0.894	ndidanile
infuriates	anger	0.894	iyacaphukisa
pissed	anger	0.894	ucaphukile
rape	anger	0.894	udlwengulo
ferocious	anger	0.894	khohlakele
vengeful	anger	0.894	ukuziphindezela
obliterated	anger	0.894	icinyiwe
explosive	anger	0.894	qhuma
killing	anger	0.893	ukubulala
combative	anger	0.891	ukulwa
vengeance	anger	0.886	impindezelo
gofuckyourself	anger	0.886	hambozimosha
torment	anger	0.885	intuthumbo
wrath	anger	0.885	ingqumbo
vicious	anger	0.884	khohlakele
massacre	anger	0.882	ukubulawa kwabantu abaninzi
threatening	anger	0.882	esongela
abhorrent	anger	0.875	inezothe
bloodthirsty	anger	0.875	onxanelwe igazi
pissoff	anger	0.875	caphukisandicaphukise
fighting	anger	0.868	ukulwa
attacking	anger	0.865	ukuhlasela
annihilated	anger	0.865	bhangisiwe
angriest	anger	0.864	nomsindo
bloodshed	anger	0.864	ukuphalala kwegazi
smite	anger	0.862	ukubetha
brawl	anger	0.861	ukuxabana
malicious	anger	0.859	enolunya
assassination	anger	0.859	ukubulawa
strangle	anger	0.859	krwitsha
hostility	anger	0.859	ubutshaba
assault	anger	0.859	uhlaselo
explode	anger	0.859	gqabhuka
tirade	anger	0.859	tirade
loathsome	anger	0.857	lizothe
hell	anger	0.853	isihogo
murderous	anger	0.853	umbulali
attack	anger	0.853	uhlaselo
malice	anger	0.852	ububi
terrorism	anger	0.851	ubunqolobi
beating	anger	0.849	ukubetha
outrage	anger	0.848	umsindo
desecration	anger	0.848	ukungcoliswa
pissingmeoff	anger	0.848	pissingmeoff
destroying	anger	0.844	ukutshabalalisa
slaughter	anger	0.844	ukuxhela
irate	anger	0.844	nomsindo
violent	anger	0.844	ezinobundlobongela
stab	anger	0.844	hlaba
abomination	anger	0.844	isikizi
tumultuous	anger	0.844	isidubedube
infuriate	anger	0.844	caphukisa
obliterate	anger	0.843	bhangisa
belligerent	anger	0.841	nemfazwe
dumbbitch	anger	0.841	dumbbitch
detest	anger	0.838	ukucekisa
hostilities	anger	0.837	ubutshaba
prick	anger	0.835	ukuhlaba
rampage	anger	0.833	ukuhlasela
horrid	anger	0.833	imbi
cruelty	anger	0.833	inkohlakalo
torture	anger	0.833	intuthumbo
rabid	anger	0.833	nomsindo
despicable	anger	0.828	edelekileyo
