English Word	Emotion	Emotion-Intensity-Score	Yiddish Word
outraged	anger	0.964	אויפגערעגט
brutality	anger	0.959	ברוטאַליטי
hatred	anger	0.953	האַס
hateful	anger	0.940	כיעסדיק
terrorize	anger	0.939	טעראָריזירן
violently	anger	0.938	גוואַלדיק
infuriated	anger	0.938	ופגעבראַכט
furious	anger	0.929	ופגעקאָכט
furiously	anger	0.927	ופגעקאָכט
enraged	anger	0.927	אויפגערעגט
screwyou	anger	0.924	שקר איר
murderer	anger	0.922	מערדער
fury	anger	0.922	צאָרן
execution	anger	0.917	דורכפירונג
angered	anger	0.916	כעס
savagery	anger	0.915	ווילדקייט
slaughtering	anger	0.914	שחיטה
veryangry	anger	0.913	זייער בייז
assassinate	anger	0.912	מערדערן
annihilation	anger	0.912	פאַרניכטונג
fuckoff	anger	0.912	פאקאפ
rage	anger	0.911	צארן
loathe	anger	0.909	פאַרשעמען
fucktard	anger	0.906	פאקטארד
roadrage	anger	0.906	roadrage
damnation	anger	0.906	פאַרשילטן
homicidal	anger	0.906	מאָרד
furor	anger	0.900	furor
hostile	anger	0.898	פײַנדלעך
annihilate	anger	0.898	פאַרניכטן
murder	anger	0.897	מאָרד
raging	anger	0.896	ריידזשינג
sopissed	anger	0.894	סאַפּייזד
infuriates	anger	0.894	ופגעקאָכט
pissed	anger	0.894	געפּרעגלט
rape	anger	0.894	שענדונג
ferocious	anger	0.894	פעראָושאַס
vengeful	anger	0.894	נעקאָמע
obliterated	anger	0.894	אויסגעמעקט
explosive	anger	0.894	יקספּלאָוסיוו
killing	anger	0.893	מאָרד
combative	anger	0.891	קאַמבאַטיוו
vengeance	anger	0.886	נקמה
gofuckyourself	anger	0.886	גיב זיך אַליין
torment	anger	0.885	מאַטערן
wrath	anger	0.885	צארן
vicious	anger	0.884	ראָצכיש
massacre	anger	0.882	שחיטה
threatening	anger	0.882	טרעטאַנינג
abhorrent	anger	0.875	פאַרכאַפּנדיק
bloodthirsty	anger	0.875	בלוט דאָרשט
pissoff	anger	0.875	פּיסאָף
fighting	anger	0.868	פייטינג
attacking	anger	0.865	קעגן
annihilated	anger	0.865	פארניכטעט
angriest	anger	0.864	כעססט
bloodshed	anger	0.864	בלוט פארגיסונג
smite	anger	0.862	שלאָגן
brawl	anger	0.861	געראַנגל
malicious	anger	0.859	בייזע
assassination	anger	0.859	אַסאַסאַניישאַן
strangle	anger	0.859	דערשטיקן
hostility	anger	0.859	שינאה
assault	anger	0.859	אַטאַקע
explode	anger	0.859	ופרייַסן
tirade	anger	0.859	טיראַדע
loathsome	anger	0.857	מיאוס
hell	anger	0.853	גענעם
murderous	anger	0.853	מערדעראַס
attack	anger	0.853	באַפאַלן
malice	anger	0.852	רשעות
terrorism	anger	0.851	טעראָריזם
beating	anger	0.849	שלאָגן
outrage	anger	0.848	סקאַנדאַל
desecration	anger	0.848	חילול השם
pissingmeoff	anger	0.848	pissingmeoff
destroying	anger	0.844	צעשטערן
slaughter	anger	0.844	שחיטה
irate	anger	0.844	צעריסן
violent	anger	0.844	היציק
stab	anger	0.844	שטעכן
abomination	anger	0.844	אַבאַמאַניישאַן
tumultuous	anger	0.844	טומאַלטשואַס
infuriate	anger	0.844	ופגעבראַכט
obliterate	anger	0.843	ויסמעקן
belligerent	anger	0.841	קריגעריש
dumbbitch	anger	0.841	שטום
detest	anger	0.838	פאַרשעמען
hostilities	anger	0.837	שינאה
prick	anger	0.835	שטאָך
rampage	anger	0.833	rampage
horrid	anger	0.833	שרעקלעך
cruelty	anger	0.833	אַכזאָריעס
torture	anger	0.833	פּייַניקונג
rabid	anger	0.833	מעשוגע
despicable	anger	0.828	דיספּיקאַבאַל
tyrannical	anger	0.828	טיראַנניש
demonic	anger	0.828	שעדלעך
satanic	anger	0.828	סאַטאַניק
hate	anger	0.828	האַס
ragemode	anger	0.828	ראַגעמאָדע
hating	anger	0.828	שונאים
ruinous	anger	0.825	חורבן
condemn	anger	0.825	פאַרשילטן
riots	anger	0.824	ומרוען
demolish	anger	0.824	דימאַליש
angry	anger	0.824	בייז
extermination	anger	0.824	פֿאַרניכטונג
dickhead	anger	0.824	דיקהעאַד
livid	anger	0.821	לעבעדיק
madman	anger	0.820	משוגענער
vindictive	anger	0.819	ווינקטיוו
terrorist	anger	0.818	טעראָריסט
threaten	anger	0.818	סטראַשען
venomous	anger	0.818	גיפטיק
hateyou	anger	0.818	האַס איר
ferocity	anger	0.818	גרייַזקייט
effyou	anger	0.818	effyou
abhor	anger	0.816	פאַרשעמען
carnage	anger	0.814	בלוטבאָד
savage	anger	0.814	ווילד
atrocity	anger	0.814	גרויזאַם
fucksake	anger	0.812	פאַק
abuse	anger	0.812	זידלען
fierce	anger	0.812	צאָרנדיק
destroyer	anger	0.812	דעסטרויער
angrytweet	anger	0.812	בייזטוועעט
barbaric	anger	0.812	באַרבאַריש
vendetta	anger	0.812	ווענדעטטאַ
pissesmeoff	anger	0.812	pissesmeoff
pissedoff	anger	0.812	געראָטן
tyrant	anger	0.812	טיראַן
berserk	anger	0.812	בערסערק
fuming	anger	0.812	פיומינג
anger	anger	0.811	כעס
pieceofshit	anger	0.810	שטיקלעך
punched	anger	0.803	זעץ
punching	anger	0.803	פּאַנטשינג
slam	anger	0.803	סלאַם
homicide	anger	0.803	מאָרד
bitch	anger	0.803	הור
fights	anger	0.803	פייץ
ruthless	anger	0.797	גרויזאַם
villainous	anger	0.797	ראָשע
destructive	anger	0.797	דעסטרוקטיווע
slap	anger	0.791	פּאַטש
riot	anger	0.788	טומל
growthefuckup	anger	0.788	growefuckup
punishing	anger	0.788	באַשטראָפן
slaughterhouse	anger	0.788	שעכטהויז
yelling	anger	0.788	געשריי
diabolical	anger	0.788	דייאַבאַליקאַל
destroyed	anger	0.788	חרובֿ
ragetweet	anger	0.788	ראַגעטוועעט
retaliatory	anger	0.788	ריטאַליאַטאָרי
manslaughter	anger	0.783	מאנאלע
clash	anger	0.783	צונויפשטויס
quarrel	anger	0.781	קריגערייַ
bloody	anger	0.781	בלוטיקע
hellish	anger	0.781	גיהנום
sinister	anger	0.781	בייז
loath	anger	0.781	שולד
detonation	anger	0.781	דעטאַניישאַן
accusing	anger	0.779	באַשולדיקן
fumin	anger	0.779	fumin
hateeee	anger	0.779	האַטעעעע
treacherous	anger	0.779	טרעטשעראַס
madder	anger	0.773	מאַדער
horrific	anger	0.773	שרעקלעך
revulsion	anger	0.773	רעוואַלשאַן
retaliate	anger	0.773	אַנטקעגנשטעלנ זיך
scorn	anger	0.769	שאָטן
bomb	anger	0.766	באָמבע
deplorable	anger	0.766	טרויעריק
devastation	anger	0.765	חורבן
anarchist	anger	0.765	אַנאַרכיסט
firestorm	anger	0.765	פייער שטורעם
resent	anger	0.765	פאַרדראָס
contemptible	anger	0.764	פֿאַראַכטלעך
shittest	anger	0.760	שיטעסט
rant	anger	0.758	גוואַלד
cruel	anger	0.758	גרויזאַם
deadly	anger	0.758	טויטלעך
smash	anger	0.758	צעברעכן
soangry	anger	0.758	סאָאַנגרי
outburst	anger	0.757	אויסברוך
snarl	anger	0.754	שנאַרל
profane	anger	0.750	גראָב
revolting	anger	0.750	רעוואָלטינג
aggravating	anger	0.750	אַגראַווייטינג
horror	anger	0.750	גרויל
despise	anger	0.750	פאַראַכטן
offend	anger	0.750	באַליידיקן
stfu	anger	0.750	stfu
vulgarity	anger	0.750	וואַלגעריטי
crazed	anger	0.750	משוגע
douchebags	anger	0.750	דוטשבאַגס
growling	anger	0.750	גראָוינג
dontmesswithme	anger	0.750	טאָן ניט רעדן מיט מיר
screaming	anger	0.742	שרייענדיק
threat	anger	0.742	סאַקאָנע
erupt	anger	0.742	ויסברעכן
horrible	anger	0.742	שרעקלעך
molestation	anger	0.742	מאלעסטאציע
fuckedoff	anger	0.742	פארשפארט
violence	anger	0.742	גוואַלד
bastards	anger	0.741	ממזרים
revenge	anger	0.738	נקמה
menacing	anger	0.735	מענאַסינג
crushing	anger	0.735	קראַשינג
damn	anger	0.735	פאַרשילטן
catastrophe	anger	0.735	קאַטאַסטראָפע
demon	anger	0.735	שעד
argue	anger	0.734	טענהן
persecute	anger	0.734	רודפן
deplore	anger	0.734	באַדויערן
flog	anger	0.734	פלאַג
fedup	anger	0.734	גענוג געווען
riotous	anger	0.734	ומרויק
vehement	anger	0.734	שטארק
revolt	anger	0.734	אויפֿשטאַנד
warfare	anger	0.734	מלחמה
thrash	anger	0.734	טראַש
altercation	anger	0.729	אָלטעריישאַן
warlike	anger	0.728	קריגערישע
shitday	anger	0.727	שיטטיי
mutiny	anger	0.727	מיוטין
castrate	anger	0.727	קאַסטרירן
sabotage	anger	0.727	סאַבאָטאַזש
malevolent	anger	0.721	מאַלישאַס
strike	anger	0.721	שלאָגן
disaster	anger	0.721	ומגליק
disastrous	anger	0.720	דיזאַסטראַס
bastarding	anger	0.719	באַסטערד
treachery	anger	0.719	טרעטשערי
arseholes	anger	0.719	אַרסעכאָלעס
horseshit	anger	0.719	כאָרסשיט
slay	anger	0.719	טייטן
disdain	anger	0.719	דיסדיין
aggravates	anger	0.719	פאַרערגערט
brutal	anger	0.719	ברוטאַל
scorching	anger	0.719	ברענען
devil	anger	0.719	שטן
madden	anger	0.719	מעשוגע
spiteful	anger	0.719	שעדלעך
scream	anger	0.719	שרייען
choke	anger	0.719	דערשטיקן
vermin	anger	0.719	ווערמין
tumult	anger	0.719	טומל
criminal	anger	0.714	פאַרברעכער
mangle	anger	0.714	מאַנגל
anarchism	anger	0.714	אַנאַרכיזם
mutilation	anger	0.714	מיוטאַליישאַן
denunciation	anger	0.713	דענונסי
punch	anger	0.713	זעץ
virulence	anger	0.712	ווירולענסע
fatal	anger	0.712	פאַטאַל
hurting	anger	0.712	כערטינג
crucifixion	anger	0.712	קרוסיפיקשאַן
dontlikeyou	anger	0.712	טאָן ניט ווי איר
blasphemous	anger	0.712	בלאַספאַםיק
holocaust	anger	0.712	חורבן
dumbasses	anger	0.712	שטום
battled	anger	0.712	געקעמפט
deranged	anger	0.706	דירינדזשד
irritated	anger	0.706	יראַטייטאַד
atrocious	anger	0.706	גרויזאַם
evil	anger	0.706	בייז
aggravated	anger	0.703	פאַרערגערט
intimidation	anger	0.703	ינטימידיישאַן
dicks	anger	0.703	דיקס
assassin	anger	0.703	מערדער
scolding	anger	0.703	אויסשרעקן
persecution	anger	0.703	פֿאַרפֿאָלגונג
slayer	anger	0.703	סלייער
kidnap	anger	0.703	קידנאַפּ
aggression	anger	0.702	אָנפאַל
armed	anger	0.700	אַרמד
battle	anger	0.697	שלאַכט
poison	anger	0.697	סם
snarling	anger	0.697	סנאַרלינג
venom	anger	0.697	גיפט
disgruntled	anger	0.693	ומגליקלעך
resentment	anger	0.691	פאַרדראָס
assailant	anger	0.691	אַטאַקע
insidious	anger	0.691	ינסידיאַס
contemptuous	anger	0.690	ביטול
lynch	anger	0.690	לינטש
temper	anger	0.688	געדולד
terrible	anger	0.688	שרעקלעך
disparage	anger	0.688	דיספּערידזש
lunatic	anger	0.688	משוגענער
bully	anger	0.688	בולי
mad	anger	0.688	מעשוגע
makesmemad	anger	0.688	מאכטמעמד
infanticide	anger	0.688	קינדער מאָרד
domination	anger	0.688	געוועלטיקונג
peeved	anger	0.688	פּעעוועד
imprisonment	anger	0.688	טורמע
curse	anger	0.688	קללה
volatility	anger	0.687	וואַלאַטילאַטי
eradication	anger	0.685	יראַדאַקיישאַן
eradicate	anger	0.682	ויסמעקן
tantrum	anger	0.682	טאַנטרום
scoundrel	anger	0.682	נבלה
devastate	anger	0.682	צעשטערן
aggressively	anger	0.680	אַגרעסיוולי
agitation	anger	0.680	אַדזשאַטיישאַן
dictatorship	anger	0.676	דיקטאַטאָרשיפּ
irritates	anger	0.676	יראַטייץ
profanity	anger	0.673	לשון הרע
shove	anger	0.672	שטופּן
nasty	anger	0.672	פּאַסקודנע
shot	anger	0.672	שאָס
cruelly	anger	0.672	גרויזאַם
shoot	anger	0.672	דרייען
condemnation	anger	0.672	פאַרשילטן
crushed	anger	0.672	צעטרעטן
aggravation	anger	0.672	פאַרערגערונג
poisonous	anger	0.672	סאַמיק
egregious	anger	0.672	גרויזאם
crime	anger	0.672	פאַרברעכן
corrupting	anger	0.672	פאַרדאָרבן
dastardly	anger	0.672	נאַריש
contempt	anger	0.672	ביטול
harmful	anger	0.672	שעדלעך
expletive	anger	0.672	יקספּלאַטיוו
wreak	anger	0.672	מאַכן
maniac	anger	0.670	מאַניאַק
cutthroat	anger	0.667	קאַטהראָאַט
enemy	anger	0.667	שונא
hit	anger	0.667	שלאָגן
hateeveryone	anger	0.667	האַס אַלעמען
eruption	anger	0.667	ויסבראָך
irritable	anger	0.667	יראַטאַבאַל
odious	anger	0.667	odious
shooting	anger	0.667	שיסעריי
shout	anger	0.667	שרייען
aggressive	anger	0.667	אַגרעסיוו
kick	anger	0.667	בריק
combat	anger	0.667	קאַמבאַט
fight	anger	0.667	קאַמף
punished	anger	0.662	באשטראפט
yell	anger	0.661	געשריי
ambush	anger	0.661	אַמבוש
harass	anger	0.659	כערייזן
malignant	anger	0.656	מאַליגנאַנט
aggressor	anger	0.656	אַגרעסער
gore	anger	0.656	גאָר
destruction	anger	0.656	צעשטערונג
grudge	anger	0.656	טאָרן
antichrist	anger	0.656	אַנטיטשריסט
incense	anger	0.656	קטורת
expel	anger	0.656	אַרויסטרייַבן
cranky	anger	0.653	קאַפּריזנע
slave	anger	0.652	קנעכט
reprisal	anger	0.652	רעפּרעזאַל
growl	anger	0.652	ברומען
animosity	anger	0.652	פיינטשאַפט
insurrection	anger	0.652	אויפשטאנד
clashing	anger	0.652	קלאַשינג
denounce	anger	0.652	פאַרשילטן
offended	anger	0.652	באליידיקטער
spank	anger	0.652	ספּאַנק
insulting	anger	0.652	באַליידיקן
growls	anger	0.649	ברומען
executioner	anger	0.644	עקסעקוטיאָנער
twat	anger	0.644	טוויט
doomsday	anger	0.643	דוםסטאג
obscenity	anger	0.641	גראָבקייט
accused	anger	0.641	אָנגעקלאָגט
