English Word	Emotion	Emotion-Intensity-Score	Yoruba Word
outraged	anger	0.964	ibinu
brutality	anger	0.959	iwa ika
hatred	anger	0.953	ikorira
hateful	anger	0.940	ikorira
terrorize	anger	0.939	ẹru
violently	anger	0.938	ni agbara
infuriated	anger	0.938	ibinu
furious	anger	0.929	ibinu
furiously	anger	0.927	ibinu
enraged	anger	0.927	ibinu
screwyou	anger	0.924	Lo ku sigbo
murderer	anger	0.922	apaniyan
fury	anger	0.922	ibinu
execution	anger	0.917	ipaniyan
angered	anger	0.916	binu
savagery	anger	0.915	onibajẹ
slaughtering	anger	0.914	pipa
veryangry	anger	0.913	ibinu pupọ
assassinate	anger	0.912	apaniyan
annihilation	anger	0.912	iparun
fuckoff	anger	0.912	fockoff
rage	anger	0.911	ibinu
loathe	anger	0.909	korira
fucktard	anger	0.906	àgbèrè
roadrage	anger	0.906	opopona
damnation	anger	0.906	ègbé
homicidal	anger	0.906	apaniyan
furor	anger	0.900	furo
hostile	anger	0.898	ṣodi si
annihilate	anger	0.898	parun
murder	anger	0.897	ipaniyan
raging	anger	0.896	ibinu
sopissed	anger	0.894	sopissed
infuriates	anger	0.894	infuriates
pissed	anger	0.894	ibinu
rape	anger	0.894	ifipabanilopo
ferocious	anger	0.894	onibaje
vengeful	anger	0.894	olugbẹsan
obliterated	anger	0.894	parun
explosive	anger	0.894	bugbamu
killing	anger	0.893	pipa
combative	anger	0.891	ija
vengeance	anger	0.886	ẹsan
gofuckyourself	anger	0.886	pa ara rẹ
torment	anger	0.885	ijiya
wrath	anger	0.885	ibinu
vicious	anger	0.884	buburu
massacre	anger	0.882	ipakupa
threatening	anger	0.882	idẹruba
abhorrent	anger	0.875	irira
bloodthirsty	anger	0.875	òùngbẹ ẹ̀jẹ̀
pissoff	anger	0.875	ibinu
fighting	anger	0.868	ija
attacking	anger	0.865	ikọlu
annihilated	anger	0.865	parun
angriest	anger	0.864	ibinu
bloodshed	anger	0.864	itajesile
smite	anger	0.862	kọlu
brawl	anger	0.861	ija
malicious	anger	0.859	irira
assassination	anger	0.859	ipaniyan
strangle	anger	0.859	strangle
hostility	anger	0.859	igbogunti
assault	anger	0.859	ikọlu
explode	anger	0.859	gbamu
tirade	anger	0.859	tirade
loathsome	anger	0.857	irira
hell	anger	0.853	apaadi
murderous	anger	0.853	apaniyan
attack	anger	0.853	kolu
malice	anger	0.852	arankàn
terrorism	anger	0.851	ipanilaya
beating	anger	0.849	lilu
outrage	anger	0.848	ibinu
desecration	anger	0.848	ibajẹ
pissingmeoff	anger	0.848	ibinujẹ
destroying	anger	0.844	iparun
slaughter	anger	0.844	ipaniyan
