English Word	Emotion	Emotion-Intensity-Score	Zulu Word
outraged	anger	0.964	ethukuthele
brutality	anger	0.959	unya
hatred	anger	0.953	inzondo
hateful	anger	0.940	enenzondo
terrorize	anger	0.939	ukwesabisa
violently	anger	0.938	ngobudlova
infuriated	anger	0.938	ethukuthele
furious	anger	0.929	ethukuthele
furiously	anger	0.927	ngokuthukuthela
enraged	anger	0.927	ethukuthele
screwyou	anger	0.924	Hamba uyofa
murderer	anger	0.922	umbulali
fury	anger	0.922	ukufutheka
execution	anger	0.917	ukubulawa
angered	anger	0.916	ethukuthela
savagery	anger	0.915	ubulwane
slaughtering	anger	0.914	ukuhlaba
veryangry	anger	0.913	ethukuthele kakhulu
assassinate	anger	0.912	bulala
annihilation	anger	0.912	ukubhujiswa
fuckoff	anger	0.912	Hamba la
rage	anger	0.911	ukufutheka
loathe	anger	0.909	nyanya
fucktard	anger	0.906	i-fucktard
roadrage	anger	0.906	udlame lwasemgwaqeni
damnation	anger	0.906	ukulahlwa
homicidal	anger	0.906	ukubulala
furor	anger	0.900	furor
hostile	anger	0.898	enobutha
annihilate	anger	0.898	qeda
murder	anger	0.897	ukubulala
raging	anger	0.896	ethukuthele
sopissed	anger	0.894	edabukile
infuriates	anger	0.894	iyathukuthela
pissed	anger	0.894	ucasuke
rape	anger	0.894	ukudlwengula
ferocious	anger	0.894	ezinonya
vengeful	anger	0.894	oziphindiselela
obliterated	anger	0.894	ichithiwe
explosive	anger	0.894	eziqhumayo
killing	anger	0.893	ukubulala
combative	anger	0.891	ukulwa
vengeance	anger	0.886	impindiselo
gofuckyourself	anger	0.886	Hamba uyozifuqa
torment	anger	0.885	ukuhlushwa
wrath	anger	0.885	ulaka
vicious	anger	0.884	enonya
massacre	anger	0.882	isibhicongo
threatening	anger	0.882	ezisongelayo
abhorrent	anger	0.875	enyanyekayo
bloodthirsty	anger	0.875	abomele igazi
pissoff	anger	0.875	awu hambe la
fighting	anger	0.868	ukulwa
attacking	anger	0.865	ehlasela
annihilated	anger	0.865	abhujiswe
angriest	anger	0.864	ngolaka
bloodshed	anger	0.864	ukuchitheka kwegazi
smite	anger	0.862	shaya
brawl	anger	0.861	ukubhebha
malicious	anger	0.859	enonya
assassination	anger	0.859	ukubulawa
strangle	anger	0.859	klinya
hostility	anger	0.859	ubutha
assault	anger	0.859	ukuhlasela
explode	anger	0.859	qhuma
tirade	anger	0.859	tirade
loathsome	anger	0.857	enyanyekayo
hell	anger	0.853	isihogo
murderous	anger	0.853	bulalayo
attack	anger	0.853	ukuhlasela
malice	anger	0.852	ububi
terrorism	anger	0.851	ubuphekula
beating	anger	0.849	ukushaya
outrage	anger	0.848	ukuthukuthela
desecration	anger	0.848	ukucekelwa phansi
pissingmeoff	anger	0.848	pissingmeoff
destroying	anger	0.844	ukubhubhisa
slaughter	anger	0.844	hlaba
irate	anger	0.844	ukucasuka
violent	anger	0.844	enodlame
stab	anger	0.844	gwaza
abomination	anger	0.844	amanyala
tumultuous	anger	0.844	isiphithiphithi
infuriate	anger	0.844	ukuthukuthela
obliterate	anger	0.843	bhubhisa
belligerent	anger	0.841	yisilwi
dumbbitch	anger	0.841	dumbbitch
detest	anger	0.838	inzondo
hostilities	anger	0.837	ubutha
prick	anger	0.835	hlaba
rampage	anger	0.833	ukuhlasela
horrid	anger	0.833	kabi
cruelty	anger	0.833	unya
torture	anger	0.833	ukuhlukunyezwa
rabid	anger	0.833	ethukuthele
despicable	anger	0.828	edelelekile
tyrannical	anger	0.828	ononya
demonic	anger	0.828	enobudemoni
satanic	anger	0.828	uSathane
hate	anger	0.828	inzondo
ragemode	anger	0.828	imodi ye-rage
hating	anger	0.828	ukuzonda
ruinous	anger	0.825	yingozi
condemn	anger	0.825	lahla
riots	anger	0.824	izibhelu
demolish	anger	0.824	bhidliza
angry	anger	0.824	ethukuthele
extermination	anger	0.824	ukuqothulwa
dickhead	anger	0.824	ikhanda
livid	anger	0.821	livid
madman	anger	0.820	uhlanya
vindictive	anger	0.819	ukuziphindiselela
terrorist	anger	0.818	amaphekula
threaten	anger	0.818	songela
venomous	anger	0.818	enobuthi
hateyou	anger	0.818	ngiyakuzonda
ferocity	anger	0.818	ubudlwangudlwangu
effyou	anger	0.818	effyo
abhor	anger	0.816	nyanya
carnage	anger	0.814	ukubulawa kwabantu
savage	anger	0.814	enonya
atrocity	anger	0.814	unya
fucksake	anger	0.812	i-fucksake
abuse	anger	0.812	ukuhlukunyezwa
fierce	anger	0.812	abanolaka
destroyer	anger	0.812	umbhubhisi
angrytweet	anger	0.812	angrytweet
barbaric	anger	0.812	iqaba
vendetta	anger	0.812	i-vendetta
pissesmeoff	anger	0.812	ukucasuka
pissedoff	anger	0.812	uthukuthele
tyrant	anger	0.812	umashiqela
berserk	anger	0.812	thuka
fuming	anger	0.812	ukuthukuthela
anger	anger	0.811	intukuthelo
pieceofshit	anger	0.810	ucezu
punched	anger	0.803	kushaywa ngesibhakela
punching	anger	0.803	ukubhoboza
slam	anger	0.803	slam
homicide	anger	0.803	ukubulala
bitch	anger	0.803	nondindwa
fights	anger	0.803	ukulwa
ruthless	anger	0.797	abangenazwelo
villainous	anger	0.797	ononya
destructive	anger	0.797	elimazayo
slap	anger	0.791	shaya ngempama
riot	anger	0.788	isiphithiphithi
growthefuckup	anger	0.788	ukukhula fuckup
punishing	anger	0.788	ukujezisa
slaughterhouse	anger	0.788	isilaha
yelling	anger	0.788	ememeza
diabolical	anger	0.788	kadeveli
destroyed	anger	0.788	ibhujisiwe
ragetweet	anger	0.788	i-ragetweet
retaliatory	anger	0.788	ukuziphindiselela
manslaughter	anger	0.783	ukubulawa kwabantu
clash	anger	0.783	ukungqubuzana
quarrel	anger	0.781	ukuxabana
bloody	anger	0.781	igazi
hellish	anger	0.781	isihogo
sinister	anger	0.781	okubi
loath	anger	0.781	inzondo
detonation	anger	0.781	ukuqhunyiswa
accusing	anger	0.779	ebeka icala
fumin	anger	0.779	fumin
hateeee	anger	0.779	hateeee
treacherous	anger	0.779	khohlisayo
madder	anger	0.773	uhlanya
horrific	anger	0.773	esabekayo
revulsion	anger	0.773	ukucasuka
retaliate	anger	0.773	phindisela
scorn	anger	0.769	ukudelela
bomb	anger	0.766	ibhomu
deplorable	anger	0.766	edabukisayo
devastation	anger	0.765	incithakalo
anarchist	anger	0.765	i-anarchist
firestorm	anger	0.765	isiphepho somlilo
resent	anger	0.765	ukucasuka
contemptible	anger	0.764	kudelelekile
shittest	anger	0.760	shittest
rant	anger	0.758	ukukhala
cruel	anger	0.758	enonya
deadly	anger	0.758	ebulalayo
smash	anger	0.758	smash
soangry	anger	0.758	ethukuthele
outburst	anger	0.757	ukuqhuma
snarl	anger	0.754	thuka
profane	anger	0.750	inhlamba
revolting	anger	0.750	ehlubukayo
aggravating	anger	0.750	okuhlukumezayo
horror	anger	0.750	ukwesaba
despise	anger	0.750	delela
offend	anger	0.750	ukucasula
stfu	anger	0.750	i-stfu
vulgarity	anger	0.750	inhlamba
crazed	anger	0.750	uhlanya
douchebags	anger	0.750	ama-douchebags
growling	anger	0.750	ukugquma
dontmesswithme	anger	0.750	ungangihlanganisi nami
screaming	anger	0.742	ukuklabalasa
threat	anger	0.742	usongo
erupt	anger	0.742	qhuma
horrible	anger	0.742	esabekayo
molestation	anger	0.742	ukunukubeza
fuckedoff	anger	0.742	uqhunyiwe
violence	anger	0.742	udlame
bastards	anger	0.741	ama-bastards
revenge	anger	0.738	ukuziphindiselela
menacing	anger	0.735	ukusongela
crushing	anger	0.735	ukuchoboza
damn	anger	0.735	Hewu
catastrophe	anger	0.735	inhlekelele
demon	anger	0.735	idimoni
argue	anger	0.734	phikisana
persecute	anger	0.734	hlupha
deplore	anger	0.734	deplore
flog	anger	0.734	bhaxabula
fedup	anger	0.734	dinekile
riotous	anger	0.734	enomsindo
vehement	anger	0.734	ngamandla
revolt	anger	0.734	ukuvukela
warfare	anger	0.734	impi
thrash	anger	0.734	qhuqha
altercation	anger	0.729	ukuxabana
warlike	anger	0.728	njengempi
shitday	anger	0.727	shitday
mutiny	anger	0.727	ukuvukela umbuso
castrate	anger	0.727	othene
sabotage	anger	0.727	ukucekela phansi
malevolent	anger	0.721	ononya
strike	anger	0.721	shaya
disaster	anger	0.721	inhlekelele
disastrous	anger	0.720	inhlekelele
bastarding	anger	0.719	ukuganga
treachery	anger	0.719	ukukhohlisa
arseholes	anger	0.719	ama-arseholes
horseshit	anger	0.719	ihhashi
slay	anger	0.719	bulala
disdain	anger	0.719	ukweyisa
