Online Post ID,Twitter ID,Related Online Post ID,Source ID,Online Post Text,Subjectivity,Sentiment Polarity,Emotion,Sarcasm,Irony,Negation,Off-topic ,Language
20190001,,,N-1-2019,"Does that mean that if my home rent doubled in the last 3 years, the minister will now double my wage (just to remain where I am)?",1,negative,sadness,0,1,0,0,0
20190002,,20190001,N-1-2019,"Of course he will. And he'll get every landlord to refund every increase in the last six years. Then on the 6th day he'll ensure they hand over all the tax they haven't paid. Much more likely he'll praise the government and its favoured friends for robbing us and ruining our environment, then buy some praise with a few crumbs from their corrupt table.",1,negative,anger,0,1,0,0,0
20190003,,20190001,N-1-2019,"Typical entitlement, benefit-seeking mentality. So, someone else has to invest thousands of their hard earned money to find some return in property - there's no investment that gives as much security and yields so well - for people like you to take advantage of. Also, I doubt you pay 100% of your earnings in rent, so why would you want double pay? Get off your lazy butt and buy your own pad.",1,positive,disgust,0,0,0,1,0
20190004,,20190003,N-1-2019,"What are you talking about? Everything has increased over the last 6 or so years, rent has almost doubled in some areas yet the minimum wage hasn't even kept up with the increase in bread prices. How you can try and spin this is beyond me. This country needs a real labor party, one that looks after the working class and the environment, that is what labor is suppose to be about. Not PN mark2 but with more corruption. On a side not, could ToM look into how many Maltese are employed in the gaming industry (percentage) and the construction industries.? Seems like all foreigners, lots of jobs but the cheap labor going to freeloading Africans willing to work for peanuts and live 10 a house and overseas programmers, customer support etc in the gaming industry. Oh and nurses, old people care, cleaning etc seems to be taken over by Filipinos. No need to increase the minimum wage eh PL, just import cheap labor.",1,negative,anticipation,0,1,0,0,0
20190005,,20190004,N-1-2019,"Forget the spin, I've had more than my fair share of government sh*t over there and I came through it on top, what can I say? Your turn now.",1,positive,trust,0,0,0,1,0
20190006,,20190003,N-1-2019,"What a condescending, elitist, privileged comment. You may never have had any financial difficulties in your life but too many others are not so lucky these days. Myself, I have worked hard since the first day I could work, but I couldn't afford my own place until I got married and so had two incomes. Also I was lucky enough to never be on the minimum wage so I cannot begin to imagine the current frustration of those wishing to buy a home today who are on the low income levels and with the greater disparity in wages and property prices.",1,negative,sadness,0,0,0,1,0
20190007,,20190006,N-1-2019,"You know nothing about my life and I can assure you I wasn't born with a silver spoon in my mouth and neither was I ever the recipient of government largesse: no subsidized plot, no unemployment benefits..sh**, I went to a church school, and like those of my age who attended church schools, was practically barred from university. anytime I couldn't find proper engagement, I worked black - and I arrived on Malta in the job challenged era of the seventies - actually, I've never received a cent from PN or MLP. I bought 3 properties locally in the nineties, and when I say properties I mean studios LM12,000 and less; basically, I bought real estate twits like you were turning your nose up at, while at the same time, my family were subsidising lazy idiots in 10 of our own properties while I and my sisters had to graft. You should know how these things worked then. It's a pity TOM won't let me express what I really feel. At this point in my life - now I can afford to live on the continent, I hope you're all enjoying yourselves in the mess you have made of the island. Elitist my a**e.",1,neutral,anger,0,0,0,1,0
20190008,,20190006,N-1-2019,"Yeah, yeah, you can be whoever, and whatever you want to be on these comments pages, and thank goodness for ToMs comments policy. But clearly you can still insult people and use ** when you want to swear and every word highlights your condescending, elitist, privileged attitude. Congratulations on your success. And in case you hadn't noticed, Joseph Borg's comment was a sarcastic rhetorical question about the Finance Ministers claims. Its not his 'mentality' its a joke about the government's 'mentality'",1,negative,disgust,1,0,0,1,0
20190009,,20190006,N-1-2019,"Then why bother replying? As for Mr. Borg's comment : bull. he meant what he said. Just look at the other person's comment to my post...it's the Maltese way of thinking. Unlike yourself, I don't spend most of my time on these comment boards and no time whatsoever lying, and pretending to live some alternative life. Also, unlike yourself, I'm unmarried and childless, it was either one thing or the other, because that's the way I am and thank God for that, at least I don't hang on every word the finance minister de jour comes out with to see how my pension/children's allowance/unemployment benefits/free sh** paid by others is going to make me better off. What you mistakenly call condescension is really just realism and cynicism.",1,negative,anger,0,0,0,1,3
20190010,,20190006,N-1-2019,"'but I couldn't afford my own place until I got married and so had two incomes'. And there you have it; you shouldn't have wasted your money on cr*p before marrying, like most people I knew were doing while I was buying real estate. And how do you even consider marriage without owning a house first? obviously, you were going for the full monte....3 beds, 2.4 kids and a dog, I suppose. Pretentious beyond your means.",1,negative,anticipation,1,0,0,1,0
20190011,,20190006,N-1-2019,"?? What is wrong with renting, it wasn't nonsense, it was what I could afford ?? Why do you think it important that two people who wish to marry must each have their own home ?? That's just weird, and impractical. And since you're interested I have 2 bedrooms, 1 living kid, 1 dead, and no pets.",1,negative,surprise,0,0,0,1,0
20190012,,,N-1-2019,"Proset Profs. Scicluna .In-nies huma ahjar milli kienu qabel, u din hassewa minn kif baxxejtu l-kontijiet ta' dawl u l-ilma, Gas u stabbilta fil-fuel . In-nies bghadhiex tghejd ha' naraw x'gej fit-Taxxi, IMMA jghejdu x'se jtina ma' li ga' taghna .Komplu sejrin hekk, in-nies ghalhekk warajkom .",1,positive,trust,0,0,0,0,1
20190013,,20190012,N-1-2019,staqsi lill min spicca jhallas id doppju f kera dal ahhar sentejn.... laghqi,1,negative,disgust,1,0,0,0,1
20190014,,20190013,N-1-2019,"Stqsi lil dawk li int ukoll kont tircievi kontijiet tad-dawl u l-ilma gholjien, staqsi lil dawk il-pensonanti li tahtkom ghal 25 sema ma hadux zieda, staqsi lil dawk l-eluf li kienu jirregistraw ghax-xoghol tahtkom u llum qed jaqighu x'jieklu, staqsi lil istudenti li lllum mhux qed ihallsu ghal ezamijiet u ghat-trasport... Nahseb li m'ghandikx mera id-dar.............",1,positive,trust,1,0,0,0,1
20190015,,20190014,N-1-2019,Meta konna nhallsu kontijiet aktar gholjin iz-zejt kien id-doppju li hu llum. Il-kontijiet naqsu b'daqshekk? Ma semmejtx li l-hajja rohsot. Dan ghaliex?,1,negative,surprise,0,1,0,0,1
20190016,,20190014,N-1-2019,"When oil went down to $30 a barrel all were screaming that the government was robbing them. Now that oil has gone up past $80 a barrel, and we did not get the usual monthly adjustment upwards like we used to have under the previous administration, there is complete silence. Wonder why.",1,negative,anger,0,1,1,0,0
20190017,,20190014,N-1-2019,Because were robbed enough to cover that!,1,negative,anger,0,0,0,0,0
20190018,,20190014,N-1-2019,"Simple because we no longer use oil for power generation, there is the interconnector at a fixed rate (which was negotiated by the pre 2013 government), and they are also using the other gas power station which is paying a fixed price for gas (at twice the market rate). If the gas was purchased at the market rate our electricity rates could be even lower.",1,negative,sadness,0,0,0,1,0
