Text,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
great budget even cigarette touched great work dr muscat team prof edward scicluna minister expert account,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
exactly scanned budget throughout earth make imposing higher price something toxic cigarette positive anything suggested program help people quit smoking,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
already smoking cessation program people want quit smoking agree cigarette taxed,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
alcohol fuel private vehicle raising tax cigarette would reduce danger health alcohol would reduce number accident higher fuel cost would reduce pollution due smaller number vehicle road unfortunately idealist government also need practical,0.0,0.0,1.0,3.0,0.0,3.0,1.0,0.0
practical say third world country supposed european state,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
well said,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
though smoker fully agree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
everything pl positive amazed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
everything pl negative like,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
fact,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
people still smoke regardless imposing higher price stop people smoking far know program help people quit smoking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
higher price little impact addicted smoker may encourage non addicted smoker give deter non smoker taking practice,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
higher price encourage contraband,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
reduce price fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ferrari black market going course correct still contraband illegal risk,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
probably true comprehensive anti tobacco policy would include strong border control measure case would mean making sure custom police better equipped way,0.0,0.0,0.0,2.0,1.0,1.0,0.0,4.0
true high price discourage new smoker,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
used write pn government increased cigarette price,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
correct high tax price reduced percentage people smoking australia drastically fact price biggest determinant even effective education campaign,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
higher price encourage contraband discourage smoker,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
need research wrong,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
never anticipate addict accomodate adiction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
yes illegal tobacco trade increased ten fold fact customer shop ask contraband smoke shop customer look else,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0
important thing decrease smoker percentage population high tobacco tax successful contribute high cost health care increaed smoker,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0
yes successful boosting free black market australia seen eye high tobacco price rationale smoker front cue surgery non smoker payed system non smoker concerned cost health case get rid public health care allow anyone industry compete free private market place pas tax saving via tax cut let everyone take care person body property state force people pay service choice paying mean individual becomes property state state dictating body,1.0,5.0,0.0,4.0,3.0,5.0,0.0,5.0
cannot explain anything red blinker even tax increased people like full praise,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0
clueless,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
quit honestly think brainer need choose quit quite painful forced due financial reason point heavily taxing might make sense outright would bad idea however agree something along line assistance encouraged,2.0,0.0,2.0,3.0,0.0,2.0,0.0,0.0
taxing achieve anything excuse government profit fact governement make money cigarette manufacturer importer,1.0,1.0,0.0,1.0,2.0,0.0,1.0,4.0
cannot keep rising price cigarette ad infinitum people determined keep smoking keep smoking even lessens income increase price beyond certain point increase contraband good unscrupulous merchant see opportunity big untaxed profit,0.0,4.0,0.0,0.0,3.0,1.0,1.0,3.0
free program give smoking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
building school year improving state road seven year,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
new school built year,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
believe see nothing happened education year,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
filled ghost teacher import third world country,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
wrong teacher third world country,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
teacher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
differentiate minister said new tax meaning cigarrettes possibly touched,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
real need new school island old one would want rather end ghost building like st luke would choose refurbishment modernising old one new school take huge area state road cannot ever fix also money made find million euro year road alone easy task,1.0,1.0,0.0,1.0,1.0,0.0,1.0,4.0
state road improving literally daily basis,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
yes improving increased traffic jam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
long term short term solution every problem year taking short term solution suffering repercussion year later glad approaching traffic situation taking consideration long term effect understand happen go tough phase,0.0,5.0,1.0,2.0,1.0,3.0,0.0,0.0
optimistic traffic problem main problem populated present transport infrastructure one cannot see solution problem since travelling distance short use underground station every town village complimented bus going around station remember construct network cost billion upon billion take decade constructed apart fact cost never make return investment,0.0,2.0,0.0,3.0,1.0,3.0,1.0,2.0
yes agree way however believe road desired standard public transport service improved people would issue paying higher road licence else use public transport viable alternative imagine right believe right way raising road license immediately would cause nationwide outrage viable alternative imagine right believe right way raising road license immediately would cause nationwide outrage,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0
people still use car cost irrespective price road license even stay hungry,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
build new school though mistaken population growth slowed drastically ageing population make sense modernise embellish existing school utilise existing resource instead wasting land build new one,0.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0
think living different planet population nearly doubled lifetime,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p take consideration fact people living much longer overall increased life expectancy hence said ageing population,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
amadeo difficult goal reach pn government reach,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
touch much anything really either good bad ask,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
well touch anything really absolutely nothing complain government social soul guidance economy flourished sorrow fact u ex pat spend absolute majority pension malta yet rarely ever catered government budget announcement contribute contribute yet invisible government,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
thing needed touched touched greater force,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
great budget maltese ex pat spend pension malta never cared budget,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
explain euro euro euro week alleviate poverty bracket agree minister expert playing around statistic shall try pay bill printed graph,0.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0
c hour spend,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
paul may draw attention eu foreign creditor,0.0,2.0,0.0,3.0,1.0,3.0,0.0,1.0
cigarette petrol diesel gas touched budget know pattern called adjustment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
custom pn administration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
great soon start hearing price fixing tuna can project create job increasing price cigarette petty mind,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
true prof scicluna great accountant possibly creative,0.0,5.0,0.0,2.0,3.0,0.0,3.0,11.0
genius calm keep foot ground see others fly,1.0,5.0,0.0,0.0,3.0,1.0,2.0,4.0
think meant economics rather account,0.0,2.0,0.0,1.0,2.0,4.0,0.0,1.0
,0.0,3.0,0.0,0.0,1.0,0.0,1.0,2.0
worst thing could done touching cigarette otherwise care every administration never give anything pocket called administer,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
focus funneled towards motorcycle bicycle malta tiny island every destination reachable minute greatest advantage make biking alot convenient incentive strong enough convinve people use bicycle motorbike traffic problem resolved,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
touch rental market white paper sound like bad news,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
problem requiring rental contract registered concerned landlord might pay tax think government plan build social housing well,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rent market regulated obvious landowner,0.0,1.0,0.0,2.0,3.0,0.0,1.0,1.0
obvious,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0
budget mintoff day used give little maltese form another time country could afford much economy infancy today muscat labour boast surplus super hyper economy yet distribute little maltese people social conscience whatsoever wonder,2.0,2.0,0.0,4.0,3.0,5.0,1.0,4.0
first surplus pns mess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
surplus dear certainly see surplus pocket believe go,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
lousy budget lousy labour government usual much mentioned surplus called good economy go believe surplus gone empty pocket ordinary people street far pretend budget going super budget ever heard entire life much much ado daily news surplus surplus good economy nothing prevailed nonetheless budget year year gimmick great joke imposed ordinary people year expect adequate financial aid increase salary pension government day granpinto hamrun,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0
pleasantly surprised rather dishing insignificant amount general public would positive present new option opportunity actually ambition improve way life,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
insignificant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tax refund euro change tax bracket part return sender pensioner tax ceiling rising increase euro weekly rise euro pensioner income euro ceiling rise right,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
need full time accountant phd work full time basis least understand good english,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
tell many maltese pensioner reach figure year taxable think minister fooling matter,0.0,1.0,1.0,0.0,1.0,0.0,2.0,5.0
old rubbish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
yeah would prefer hike tax rather budget right realize better care realize lucky government care pity nothing ever mentioned ease life ex pat malta ex pat spending pension malta pity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
stop talking nonsense,1.0,4.0,0.0,1.0,4.0,3.0,1.0,7.0
stop stop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mr white come malta country matter without first checking condition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
