Text,nb_tokens,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
great budget even cigarette touched great work dr muscat team prof edward scicluna minister expert account,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
exactly scanned budget throughout earth make imposing higher price something toxic cigarette positive anything suggested program help people quit smoking,20.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.05
already smoking cessation program people want quit smoking agree cigarette taxed,14.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0
alcohol fuel private vehicle raising tax cigarette would reduce danger health alcohol would reduce number accident higher fuel cost would reduce pollution due smaller number vehicle road unfortunately idealist government also need practical,34.0,0.0,0.0,0.029411764705882353,0.08823529411764706,0.0,0.08823529411764706,0.029411764705882353,0.0
practical say third world country supposed european state,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
well said,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
though smoker fully agree,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
everything pl positive amazed,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
everything pl negative like,4.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0
fact,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
people still smoke regardless imposing higher price stop people smoking far know program help people quit smoking,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
higher price little impact addicted smoker may encourage non addicted smoker give deter non smoker taking practice,20.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.05
higher price encourage contraband,5.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2
reduce price fuel,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ferrari black market going course correct still contraband illegal risk,11.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.0,0.09090909090909091,0.0,0.0
probably true comprehensive anti tobacco policy would include strong border control measure case would mean making sure custom police better equipped way,22.0,0.0,0.0,0.0,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.0,0.18181818181818182
true high price discourage new smoker,7.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285
used write pn government increased cigarette price,8.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0
correct high tax price reduced percentage people smoking australia drastically fact price biggest determinant even effective education campaign,20.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.1
higher price encourage contraband discourage smoker,8.0,0.0,0.0,0.0,0.125,0.125,0.125,0.0,0.125
need research wrong,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
never anticipate addict accomodate adiction,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
yes illegal tobacco trade increased ten fold fact customer shop ask contraband smoke shop customer look else,18.0,0.05555555555555555,0.0,0.05555555555555555,0.05555555555555555,0.0,0.05555555555555555,0.0,0.1111111111111111
important thing decrease smoker percentage population high tobacco tax successful contribute high cost health care increaed smoker,21.0,0.0,0.047619047619047616,0.0,0.0,0.047619047619047616,0.047619047619047616,0.0,0.09523809523809523
yes successful boosting free black market australia seen eye high tobacco price rationale smoker front cue surgery non smoker payed system non smoker concerned cost health case get rid public health care allow anyone industry compete free private market place pas tax saving via tax cut let everyone take care person body property state force people pay service choice paying mean individual becomes property state state dictating body,76.0,0.013157894736842105,0.06578947368421052,0.0,0.05263157894736842,0.039473684210526314,0.06578947368421052,0.0,0.06578947368421052
cannot explain anything red blinker even tax increased people like full praise,13.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.0,0.15384615384615385
clueless,2.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
quit honestly think brainer need choose quit quite painful forced due financial reason point heavily taxing might make sense outright would bad idea however agree something along line assistance encouraged,32.0,0.0625,0.0,0.0625,0.09375,0.0,0.0625,0.0,0.0
taxing achieve anything excuse government profit fact governement make money cigarette manufacturer importer,16.0,0.0625,0.0625,0.0,0.0625,0.125,0.0,0.0625,0.25
cannot keep rising price cigarette ad infinitum people determined keep smoking keep smoking even lessens income increase price beyond certain point increase contraband good unscrupulous merchant see opportunity big untaxed profit,41.0,0.0,0.0975609756097561,0.0,0.0,0.07317073170731707,0.024390243902439025,0.024390243902439025,0.07317073170731707
free program give smoking,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
building school year improving state road seven year,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125
new school built year,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
believe see nothing happened education year,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
filled ghost teacher import third world country,7.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285
wrong teacher third world country,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
teacher,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
differentiate minister said new tax meaning cigarrettes possibly touched,11.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0
